gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01060	5373.2257190667	-4.0786461613494565	0.08375437188726981	-48.69771057251983	0	0
AT1G28330	1215.9854980135008	4.405240911486593	0.10037004623914011	43.889995835916366	0	0
AT1G04530	1633.2379600474042	-3.073501394443815	0.0730639643456257	-42.065899680788725	0	0
AT1G31580	20946.62990803329	-4.428641335769579	0.11233226864769912	-39.42448050843572	0	0
AT5G12470	1803.3306955293053	-3.771394222634707	0.09527237712288879	-39.5853901889118	0	0
AT5G67030	9126.777620907276	-2.2876516612488094	0.057826662692503215	-39.56049951237089	0	0
AT5G23240	1777.3758794616938	6.400936098190414	0.15290295547933397	41.86273625728281	0	0
AT3G01550	1099.0743671491628	-4.512393975978814	0.10786883369782006	-41.832231065181205	0	0
AT3G02380	1876.3366491151396	-5.028720637161944	0.10722359453511514	-46.899384962468	0	0
AT3G01060	2146.3286140594673	-3.2680900475435974	0.07886255475809424	-41.44032687716307	0	0
AT2G05100	19399.877960498015	-4.409873398622383	0.1088784775371638	-40.502709978812376	0	0
AT2G41090	10046.776247738522	-3.633468648914115	0.08956350211245954	-40.56863078390777	0	0
AT2G46830	4653.665833914108	-2.865442661076432	0.06818377000812684	-42.025289313496444	0	0
AT4G23680	4674.864570300023	5.841568949114202	0.11788152903125358	49.554573961841335	0	0
AT1G09500	10990.323461490974	5.485500122491228	0.14418379726364103	38.04519111437296	1.0339125e-316	1.4200443569e-313
AT4G10120	1916.614045609142	-3.401737109790064	0.08987115188952548	-37.85126860253961	1.63184958746e-313	2.10121032504997e-310
AT5G35970	3968.4306460001317	-4.006417751840341	0.10753124870966148	-37.258171925984264	7.81307727644392e-304	9.4685304734880965e-301
AT1G29720	1247.0058355766812	-5.908457460199413	0.1588729256620904	-37.18983228625256	9.963435747268957e-303	1.1403705736957503e-299
AT1G17050	1265.4606424664	-2.9460966013687524	0.07931713111776734	-37.143257198681205	5.632893693096338e-302	6.107835571851092e-299
AT3G22231	2041.7947327001568	-6.460092021286287	0.17415434680452055	-37.09406133019128	3.5023925655642257e-301	3.6078145817877084e-298
AT2G21330	22432.626740128584	-2.8411061590130555	0.07709893654711736	-36.85013420745142	2.910111479480778e-297	2.8549579381077613e-294
AT3G54500	9222.840161012968	-2.8774752095440643	0.07830240808238649	-36.74823393064114	1.2406473059335036e-295	1.1618098089473656e-292
AT3G47470	51341.90892957261	-3.3041456316450506	0.0927160836393507	-35.63724331257991	3.714083476123438e-278	3.3268499032650034e-275
AT1G44000	2140.1427754504884	-3.306297972038337	0.09282269458263055	-35.61950002534217	6.992188515356063e-278	6.0022111580569e-275
AT3G08940	18269.79930657821	-3.7235834112307296	0.10648836897212681	-34.96704332287569	7.133000681212975e-268	5.878163201373989e-265
AT5G37260	1461.037042449229	4.429626373413667	0.12676332673764606	34.94406850477647	1.593448652171529e-267	1.2626241973860708e-264
AT1G17020	2683.686488827165	5.192369069379689	0.14895354773793804	34.85898220104769	3.112390984302004e-266	2.3748695947625886e-263
AT2G46820	12102.172269358367	-3.122843017420901	0.08963511625602072	-34.839504290944035	6.1394776527426375e-266	4.5173399500644226e-263
AT2G37870	1617.7448121654643	6.276649908854696	0.18275205213116905	34.34516786902986	1.6629237794035074e-258	1.1813639897679675e-255
AT2G05070	14647.198863504886	-4.979067707520462	0.1458366531538171	-34.141401354493034	1.7939094771638618e-255	1.231937434950996e-252
AT2G21660	8151.25029322029	4.999088988852691	0.1466457644042973	34.089555938829406	1.0534394581564148e-254	7.0009547473995025e-252
AT1G06680	27654.086161957035	-2.682086303742625	0.07881557919876181	-34.02990031931098	8.049928112959694e-254	5.182644343224863e-251
AT1G73870	1361.0518641759522	-4.500489515854118	0.1324384560914374	-33.9817425291255	4.145970945579346e-253	2.5883422248735054e-250
AT4G19430	3933.4317243029514	7.098892928574178	0.21143224077544778	33.57526223313112	3.853319306476939e-247	2.3348848338834677e-244
AT1G55960	5091.623084056797	-3.7080479973426264	0.1112721821889649	-33.32412400293846	1.7273456170871568e-243	1.0167649829494171e-240
AT4G12800	21948.725447667188	-2.365498149084425	0.07106017094664774	-33.28866392483703	5.633303222134356e-243	3.223814249511445e-240
AT3G46230	1934.1563956133405	7.175546184740881	0.21650813459155305	33.1421551355458	7.346897779112825e-241	4.090832109331958e-238
AT1G61520	31301.76568908752	-2.8798962822684095	0.08693065138609837	-33.12866332356681	1.1493036131146261e-240	6.231040272996717e-238
AT5G39530	1215.4835167004092	-3.091622097781038	0.09336131251520471	-33.11459548383641	1.8322229219000362e-240	9.678835035124243e-238
AT5G22390	627.0564169815518	-5.255904022660849	0.15881097853303783	-33.09534435975691	3.467445951669075e-240	1.7859080374071568e-237
AT1G77120	1994.1181854620984	4.137061583591198	0.1250480211244896	33.08378290506981	5.085180574226e-240	2.5552412241513185e-237
ATMG01360	1510.1133828327177	6.00779919872016	0.18301806948462765	32.826262541386804	2.485265804446297e-236	1.2190820500762527e-233
AT4G24000	6468.17497105079	4.917499223329887	0.15034504325782658	32.708090115727146	1.1983982627675132e-234	5.741721165008443e-232
AT2G04050	556.5213510324658	5.218760797757909	0.15995415215176104	32.626604108447665	1.7208566884878392e-233	8.057520340051469e-231
AT1G51400	5293.822347850697	-2.659559203892325	0.08155441849766738	-32.61085362246061	2.8779120148240015e-233	1.3175720739867572e-230
AT1G12900	19375.639312945044	-2.9017402838632584	0.08960456424252954	-32.38384459980431	4.634246146083188e-230	2.0755378065566486e-227
AT3G54890	29972.403743033417	-3.6735250185405404	0.11366707219053564	-32.318286622028545	3.8720399650113205e-229	1.697271645939643e-226
AT1G07180	1998.8713629389442	-3.1059862606882325	0.09610833142225812	-32.31755472938015	3.964807654034893e-229	1.7017284851755596e-226
AT1G52230	11348.269807178916	-3.3729930567521493	0.10461577498855056	-32.241725085163296	4.595008110460288e-228	1.931966471259242e-225
AT4G26850	13651.609743174793	-2.564401690208134	0.07960859935585318	-32.212621638337964	1.1749300279425311e-227	4.8411816871344057e-225
AT3G26650	31851.168296580727	-2.389421352914208	0.07437771414027018	-32.12550130820044	1.9423639322641744e-226	7.846388575001278e-224
AT3G09600	1491.26328626053	-2.6826244060190776	0.08376264777369856	-32.02649960716047	4.6644959180959006e-225	1.8480374020117643e-222
AT5G61380	1034.726357077857	3.0485739068707765	0.09527180710830048	31.998699294171065	1.1368049987282882e-224	4.418954072415131e-222
AT2G25510	12988.646920559186	-4.706573529892437	0.14761003850221077	-31.885185978201246	4.284565896539842e-223	1.6346412333428488e-220
AT3G56290	2777.1321813736404	-2.83592585391845	0.08908429360894468	-31.83418466971717	2.1791120066131054e-222	8.162557374589671e-220
AT5G60040	651.8007201183023	3.677855375422827	0.11577179891077838	31.768145697185137	1.7833991421876354e-221	6.560998058455298e-219
AT2G21640	1092.067563115762	5.240028721262381	0.16656670100957374	31.45904126996668	3.1576898339676084e-217	1.1413109817438714e-214
AT4G39800	5742.570537673642	-3.9817834669021357	0.12664366332188914	-31.440842458747184	5.600017626471393e-217	1.989164881733856e-214
AT5G22860	4427.738053602156	4.335001884415241	0.1379455433373486	31.42545804335198	9.086945590335308e-217	3.173038187323526e-214
AT5G54960	1218.5309867585681	3.512204306328619	0.11177364381100068	31.422473014008965	9.981517101346e-217	3.427320255365505e-214
ATMG00640	1495.7695731706424	6.60623810657083	0.21032995227240442	31.4089269511881	1.5282745650405568e-216	5.161559440814024e-214
AT1G56300	773.1598886529283	6.952446222305642	0.22154694303084974	31.381368333019765	3.633594128571883e-216	1.2074081651102894e-213
AT3G56940	19093.782970921297	-2.994989548023509	0.09558195341724401	-31.334257576317547	1.5942872981454057e-215	5.2135725264113725e-213
AT5G13650	7629.73657451106	-1.8678678875068262	0.05971099754937623	-31.281806772064872	8.250140103518901e-215	2.655771662698381e-212
AT1G58520	2058.4674018613614	-3.4812803210740904	0.11139859969868807	-31.250665003781812	2.186549989403018e-214	6.930354289489381e-212
AT1G44446	5151.7584021691255	-3.00043572649783	0.09650040627179818	-31.09246730057233	3.044965653363442e-212	9.504906422817216e-210
AT5G54270	46483.0947376972	-4.395233994396065	0.14204074639846467	-30.943472952938336	3.1099766543814304e-210	9.562946124412869e-208
AT1G15820	25234.52504457974	-3.3444529412209176	0.108793383931019	-30.741326543730683	1.5969264108041132e-207	4.838217340497992e-205
AT5G46110	15565.507863120423	-2.6468751267432657	0.08623445608903862	-30.693938905468595	6.856905791544925e-207	2.0473329437305586e-204
AT2G29650	2358.1476192863943	-2.016236066342594	0.0657743369835478	-30.65384097823619	2.3488716697672056e-206	6.913064877220566e-204
AT4G10340	45062.77283642314	-3.2424557447021147	0.1062006177695955	-30.531420746880134	9.979171306336552e-205	2.8956462993400797e-202
AT3G16140	7315.0026482018675	-2.5430884755098915	0.08366094854615154	-30.39755727975039	5.916805310301219e-203	1.6930280972614685e-200
AT5G06980	1638.3504465465294	-3.1778533867609005	0.10524233667405708	-30.195579908140353	2.7072000952976537e-200	7.640237857989351e-198
AT5G19220	2447.3512243871937	-2.825138703663838	0.09362067682451618	-30.17643964441012	4.8274375882874385e-200	1.343984718836457e-197
AT5G54610	2470.3194531768368	-4.205577218792371	0.14037460259742623	-29.9596731956802	3.292014549535082e-197	9.042944499936235e-195
AT3G60300	1892.3096013850113	1.7957356065289996	0.06004012985378181	29.908922763861906	1.5064935369331205e-196	4.0837868220915983e-194
AT2G30570	16515.946801674552	-2.1629289776513128	0.07236739237830506	-29.888170715679053	2.8036815979375877e-196	7.501486789702621e-194
AT1G16720	3213.588947486733	-2.7315652222021507	0.09151987760563586	-29.84668788536425	9.69203790349142e-196	2.5599405754837213e-193
AT3G59820	939.5300103823149	3.4911359937970015	0.11724850599292405	29.77552647031333	8.105168365651305e-195	2.1137047932803567e-192
AT2G04039	1524.258540710695	-2.239219345492425	0.07524143587341238	-29.760454721514492	1.2700771954536213e-194	3.2707662975919378e-192
AT2G25930	625.4895703669058	3.095037770159139	0.10430000839963117	29.674376998133432	1.6444239028425014e-193	4.1825211415260756e-191
AT2G19450	584.8600557602947	4.246065882936619	0.14392818320034007	29.501281740118472	2.7720020746365814e-191	6.964486188007665e-189
AT5G64040	14816.04985068509	-2.7203109880415606	0.0925126850918327	-29.404734986788505	4.777166324453336e-190	1.185773260438405e-187
AT5G02120	1731.0943503641665	-2.237300217822361	0.07610435624608601	-29.397794399416178	5.859973721731453e-190	1.4372283168465642e-187
AT3G57520	21195.17543237646	3.0737260514879883	0.1050255134901844	29.26647011133401	2.7717063107135333e-188	6.7179639309788486e-186
AT2G34420	30103.96251370812	-3.628255827911108	0.12414271958627054	-29.226488995915084	8.936409301846395e-188	2.1407895864725515e-185
AT2G26080	10223.429327042862	-2.40568065431752	0.08265765827343478	-29.104147208712757	3.181286865258737e-186	7.533433562995459e-184
AT3G51820	1939.49633269958	-1.9358094549671752	0.06656088065848982	-29.083290903247136	5.8403367840668184e-186	1.3673024821061887e-183
AT2G22470	5428.374996488069	4.8114233809332685	0.1665532541055449	28.888197992722898	1.6797772252795043e-183	3.888401168000938e-181
ATMG00160	1321.006196960275	6.239499876305587	0.21677968556835558	28.782677952257337	3.5340457207572134e-182	8.089823326560011e-180
AT5G17230	6196.68408235275	-1.9177168057830203	0.06667268114204945	-28.763157157235504	6.20149474681786e-182	1.4039911513619953e-179
AT1G53470	1122.9407197735563	4.7890940682451335	0.16694529474747727	28.68660704387718	5.60554765991377e-181	1.2552770966254727e-178
AT4G39090	11820.301596031253	2.7260474330015705	0.09594269441725391	28.413288260865542	1.3856972133709112e-177	3.069691826867475e-175
AT4G35090	26173.878363451702	-1.9000163429237436	0.06697170055332695	-28.37043597856433	4.684996182997237e-177	1.0268116102352029e-174
AT5G09660	11886.331862322126	-1.8749835246791622	0.06611048920343346	-28.36136212681035	6.062196296192635e-177	1.3146670325701121e-174
AT5G66570	36589.87225099574	-2.2610504123256514	0.07977128404906264	-28.344164686317594	9.877625746420717e-177	2.119779641955829e-174
AT4G22890	5949.6738119795855	-2.391804601172805	0.08439410631148057	-28.340896132547055	1.0837651230540825e-176	2.30182773867631e-174
AT3G28740	1798.0797093917383	5.209037588600215	0.18405452662656335	28.301599988187576	3.302702695913332e-176	6.943089891959844e-174
