ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046527	glucosyltransferase activity	128/9576	227/26722	0.5638766519823789	1.5735079254671187	6.4849615150248745	1.9489671515626733e-10	1.520194378218885e-7	1.3006791306218262e-7	UGT1/ATCSLG2/ATSPS4F/GBSS1/ASUS1/UGT76E12/UGT73B3/UGT88A1/NA/UGT78D1/ATSAGT1/UGT89C1/CESA5/NA/GGP/DOGT1/NA/ATTPS1/ATSUS3/AtUGT85A3/UGT89B1/ATSPS2F/AtUGT85A5/ATCSLD2/XTH6/AtXTH32/ATCSLC05/ATSS3/UGT76E11/XTH23/NA/UGT73C1/ATUGT85A1/NA/ATXTH18/NA/ATCSLD5/AtSS2/UGT91C1/UGT74E2/ATGSL12/ATCSLC08/UGT73C7/CESA6/ATSUS5/UGT73B5/ATCSLB04/XTH30/ATCSLA03/UGT87A2/UGT73B1/XTH29/AtUGT85A2/NA/ATCESA2/ATCESA3/ATHEX3/ATSPS1F/ATSS1/XTH8/ANY1/HYR1/ATGSL06/UGT84A3/NSH2/NA/MERI-5/ATTPS6/UGT73B2/UGT74B1/ATCSLE1/ATXTH19/XTH11/NA/EXGT-A1/ATCSLA10/ATCSLD1/SS5/NA/TT15/UGT73C2/ATCSLB03/XTH25/UGT73B4/ATCSLA15/NA/UGT73C6/XTH7/UGT84A1/ATCSLA11/UGT72B3/XTH9/XTH10/AtUGT85A7/UGT71B6/ATCSLG3/ATCSLC04/ATGSL04/AtXTH22/ATSUS4/UGT76C2/UGT76E2/ATCSLC12/UGT79B7/AtXTH31/EXGT-A4/ATXTH14/NA/NA/NA/UGT79B3/NA/XET/UGT72E1/ATCSLG1/UGT76F1/NA/NA/UGT76C5/UGT71B5/UGT72E2/UGT84A4/XTH16/ATCSLB06/UGT78D3/ATXTH17/UGT76D1/XTH15	128
GO:0030247	polysaccharide binding	59/9576	95/26722	0.6210526315789474	1.7330585235017368	5.3490461369492746	1.6579253365140408e-7	5.4040250756216116e-5	4.6236867718543884e-5	CRB/AtPDCB1/ATCTL1/XTH6/AtXTH32/ATSS3/XTH23/NA/WAK2/WAKL8/ESV1/ATGWD3/ATXTH18/PDCB3/NA/NA/XTH30/NA/XTH29/NA/AtWAK1/E13L3/WAKL2/XTH8/NA/LRK10L1.1/ATPTPKIS1/NA/ARD/MERI-5/ATXTH19/WAKL7/XTH11/EXGT-A1/FLA4/XTH25/LRK10L3/XTH7/XTH9/XTH10/ATWAKL10/AtXTH22/NA/NA/PDCB5/NA/PDLP7/AtXTH31/EXGT-A4/ATXTH14/XET/WAK4/XTH16/WAK3/WAKL1/WAKL4/ATXTH17/NA/XTH15	59
GO:0031406	carboxylic acid binding	54/9576	86/26722	0.627906976744186	1.7521856968001401	5.221277863012569	3.269657818822153e-7	5.4040250756216116e-5	4.6236867718543884e-5	GAPA-2/OE23/RBCS1A/GAPA/ACX2/NA/2CPA/AtGLDP2/AtGLDP1/ATHM1/GAPB/APM1/APP1/ATGSL1/ACX1/SHM4/DEG15/FBA6/GH3.15/ACX4/GTG1/AtFAP3/AtLTP4.5/AtLTP4.4/AtFAP2/ATGID1B/BCCP/ATGPX2/ATGSTF7/GAPC-2/ATLOX2/PYL7/ATGSTF5/AtLFG4/PYL1/AtLFG2/ACX5/PYR1/FBP/DIR1/NA/MLP423/AtFAP1/ATGSTF2/NA/PYL2/CP3/NA/AtPYL4/NA/BCCP2/NA/AtPYL5/PYL3	54
GO:0043177	organic acid binding	54/9576	86/26722	0.627906976744186	1.7521856968001401	5.221277863012569	3.269657818822153e-7	5.4040250756216116e-5	4.6236867718543884e-5	GAPA-2/OE23/RBCS1A/GAPA/ACX2/NA/2CPA/AtGLDP2/AtGLDP1/ATHM1/GAPB/APM1/APP1/ATGSL1/ACX1/SHM4/DEG15/FBA6/GH3.15/ACX4/GTG1/AtFAP3/AtLTP4.5/AtLTP4.4/AtFAP2/ATGID1B/BCCP/ATGPX2/ATGSTF7/GAPC-2/ATLOX2/PYL7/ATGSTF5/AtLFG4/PYL1/AtLFG2/ACX5/PYR1/FBP/DIR1/NA/MLP423/AtFAP1/ATGSTF2/NA/PYL2/CP3/NA/AtPYL4/NA/BCCP2/NA/AtPYL5/PYL3	54
GO:0033293	monocarboxylic acid binding	45/9576	68/26722	0.6617647058823529	1.8466662980981865	5.224233082520572	3.4641186382189817e-7	5.4040250756216116e-5	4.6236867718543884e-5	GAPA-2/OE23/RBCS1A/GAPA/ACX2/NA/2CPA/ATHM1/GAPB/APM1/APP1/ATGSL1/ACX1/SHM4/DEG15/FBA6/ACX4/GTG1/AtFAP3/AtLTP4.5/AtLTP4.4/AtFAP2/BCCP/ATGPX2/ATGSTF7/GAPC-2/ATLOX2/PYL7/ATGSTF5/PYL1/ACX5/PYR1/DIR1/NA/MLP423/AtFAP1/ATGSTF2/PYL2/NA/AtPYL4/NA/BCCP2/NA/AtPYL5/PYL3	45
GO:0016168	chlorophyll binding	23/9576	28/26722	0.8214285714285714	2.2922111827187015	5.112610353844279	6.676862384374011e-7	8.679921099686213e-5	7.426545178408988e-5	CP24/LHCA3/CP22/LHCA1/CAB4/LHCB4.2/LHCB2/LHCB2/LHCB5/LHCA2/LHB1B2/AB140/SEP1/LHCB4.1/LHCB4.3/AB165/AB180/DEG13/DEG11/SEP2/AtLHCB7/PSBB/PSBI	23
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	29/9576	39/26722	0.7435897435897436	2.0750005355268515	5.020658342931185	1.0724123047333868e-6	1.194973710988631e-4	1.0224201521819057e-4	ALPHA/ATLOX3/ATCAO/ETHE1/ARD1/NA/AtHGO/ACD1/MIOX1/ALPHA-DOX1/CCD4/ATNCED3/MHP1/MIOX2/MHL/ATARD2/ATLOX2/ATLOX1/MIOX4/ARD/ATLOX4/HPD/ATLOX5/PCO3/PCO4/ATCCD7/ATCCD8/HUP29/ATNCED9	29
GO:0016758	hexosyltransferase activity	185/9576	392/26722	0.4719387755102041	1.3169536298228566	4.724440091325307	2.178331872509788e-6	2.1238735756970434e-4	1.8171873778568496e-4	UGT1/AtSIP2/ATCSLG2/ATSPS4F/GBSS1/ASUS1/UGT76E12/UGT73B3/UGT88A1/NA/UGT78D1/GUX3/ATSAGT1/UGT89C1/CESA5/NA/GGP/DOGT1/NA/ATTPS1/FRA8/ATCSLA09/ATSUS3/AtUGT85A3/UGT89B1/ATSPS2F/AtUGT85A5/ATCSLD2/XTH6/AtXTH32/ATCSLC05/ATSS3/UGT76E11/XTH23/NA/UGT73C1/ATUGT85A1/AtMSR1/NA/NA/SEC/GAUT13/ATXTH18/NA/ATCSLD5/AtSS2/UGT91C1/UGT74E2/ATGSL12/GALT4/ATCSLC08/UGT73C7/NA/ATPHS2/CESA6/ATSUS5/UGT73B5/ATCSLB04/GATL3/XTH30/ATCSLA03/UGT87A2/UGT73B1/XTH29/ATTS02/DIN10/AtUGT85A2/NA/ATCESA2/ATGT18/ATCESA3/GALT5/ATHEX3/ATSPS1F/ATSS1/NA/AtGolS1/XTH8/GlcAT14B/ANY1/HYR1/AtDPE1/ATGSL06/UGT84A3/RS5/NA/ATCSLA02/DPMS1/NSH2/NA/MERI-5/ATTPS6/UGT73B2/UGT74B1/HPGT2/DPMS2/ATCSLA07/ATCSLE1/ATXTH19/GATL6/XTH11/NA/EXGT-A1/AtMSR2/XXT5/GATL10/ATCSLA10/GALS1/ATCSLD1/SS5/SETH2/NA/TT15/GAUT6/UGT73C2/ATCSLB03/XTH25/UGT73B4/ATCSLA15/NA/UGT73C6/NA/XTH7/UGT84A1/ATCSLA11/TUN/UGT72B3/XTH9/XTH10/AtUGT85A7/NA/UGT71B6/NA/ATCSLG3/ATCSLC04/ATGSL04/AtXTH22/MAGT1/ATSUS4/XXT4/AtIPCS3/GATL8/ATGATL1/UGT76C2/UGT76E2/DSA1/ATCSLC12/UGT79B7/AtXTH31/NA/KNS4/EXGT-A4/XXT3/ATXTH14/NA/NA/NA/NA/UGT79B3/GALT1/NA/XET/ATMGD3/NA/UGT72E1/NA/ATCSLG1/UGT76F1/AtSIP1/NA/NA/UGT76C5/UGT71B5/NA/UGT72E2/AtGolS4/UGT84A4/XTH16/ATCSLB06/UGT78D3/ATXTH17/UGT76D1/ATFUT3/GT6/XTH15	185
GO:0016829	lyase activity	154/9576	318/26722	0.48427672955974843	1.3513829122071426	4.710818244418441	2.4561337224389776e-6	2.1286492261137806e-4	1.8212734269313589e-4	PDC2/AtHPCL/AtFBA1/AtFBA2/ACA1/AtFBA5/ATECH2/AtHNL/ATBCA1/EDA17/ATFC-II/ATP1/DHNS/ATMFP2/HEME2/ATBCA4/UXS5/AtRIBA2/IGPS/SAMDC2/ADC1/ARATH;BSAS3;1/ADC2/ALF1/GAD2/ACO3/HEME1/ATPDX1/ATMGL/ATBCA5/AtROS1/AAS/NA/FBA6/AIM1/NA/AT-PHH1/ATPAL2/ATPAL3/ATPDX1.1/AtNIT2/PLL19/CBL/NA/NA/AtDJ1A/GAD4/ABA3/DJ-1d/DJ-1f/ACS2/ATTSB1/ATPPC2/THA2/ATDPL1/PHYLLO/NA/IPMI/FUM2/TSB3/NA/NA/AXS2/TSB4/ATRHM1/NA/NA/PAS2/ATBCA6/ENO2/PHR2/NA/THA1/ADT1/ATPAL1/NA/ATTPS03/ATCRY1/AtNIT4/NA/CORI3/AOS/ATPSKR1/ATFC-I/NA/UXS6/HISN5A/ATMUM4/NA/ATPPC3/AtFBA7/CRY3/ALAD1/DAPDC1/ATSIRB/NA/PLL18/NA/AtSPP1/ATDUF3/A37/AMT1/ATRHM3/AtGGCT2;1/DES1/ATUXS3/PAL4/ADT5/ADT3/UXS4/ACCS7/PHR1/E-COAH-2/AtCXE20/AtPDC1/NA/ATWAKL10/ClAP/ASB2/NA/BUD2/NA/AtTYDC/PMR6/ATSR/NOGC1/CYP706A3/NA/NA/CYP71B15/AtMDD2/NA/ACS8/ACA2/NA/ATLEUD1/NA/ACS11/NA/PSD1/AtGAD1/GAD5/NA/ATBCA3/TPS6/NA/NA/TPS30/ATKS/NA/AtYUC4/CYP71A13/RGIL6/PDC3	154
GO:0046906	tetrapyrrole binding	80/9576	149/26722	0.5369127516778524	1.4982646773533386	4.5579541642830055	6.13600149535275e-6	4.586084422379236e-4	3.9238563074067966e-4	CP24/LHCA3/CP22/LHCA1/CAB4/LHCB4.2/LHCB2/LHCB2/CYP76C2/LHCB5/LHCA2/LHB1B2/AB140/SEP1/ATTSPO/GUN4/CAT1/LHCB4.1/ATCAT3/LHCB4.3/AtHBP5/CYP707A4/CAT2/AB165/CYP706A4/ATT1/AB180/CYP96A12/ATCB5-B/DEG13/CYP76C6/CYP76C1/CYP86A8/AtCCME/AtPP5/AtHBP1/NA/ATB5-B/ATCB5-C/CYP96A4/DEG11/CYP97B3/AHB2/CYP704A2/NA/CYP94B3/SEP2/ULI3/ATCB5LP/CYP706A5/NA/CYTC6A/CYP706A6/AtLHCB7/CYP86A4/CYP96A15/CYP78A5/CYP86A7/NA/CYP706A3/CYP78A9/CYP96A11/HO4/CYP706A2/CYP78A8/CYP76G1/ATHSPRO2/PSBB/CYP78A6/CYP76C4/NA/CYP86B1/CYP704B1/AHB1/PSBI/PETA/CYP72A10/CYP72A9/CYP86C2/CYP703	80
