ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0071456	cellular response to hypoxia	120/3361	241/21192	0.4979253112033195	3.139551679565828	14.50277321800736	6.169238538349113e-35	1.1692218104698506e-31	9.168339195972967e-32	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	120
GO:0036294	cellular response to decreased oxygen levels	120/3361	243/21192	0.49382716049382713	3.113711748046767	14.387634004540963	1.7338929468163874e-34	1.1692218104698506e-31	9.168339195972967e-32	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	120
GO:0071453	cellular response to oxygen levels	120/3361	243/21192	0.49382716049382713	3.113711748046767	14.387634004540963	1.7338929468163874e-34	1.1692218104698506e-31	9.168339195972967e-32	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	120
GO:0001666	response to hypoxia	123/3361	271/21192	0.45387453874538747	2.861799828947412	13.392095687951226	8.202004840916662e-31	4.148163948293602e-28	3.2527424461214235e-28	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ACBP2/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/AtFBA7/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/CYP707A1/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	123
GO:0036293	response to decreased oxygen levels	123/3361	275/21192	0.44727272727272727	2.8201736496172676	13.19020676803182	4.600467946986166e-30	1.861349331350603e-27	1.4595589886543478e-27	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ACBP2/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/AtFBA7/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/CYP707A1/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	123
GO:0070482	response to oxygen levels	123/3361	276/21192	0.44565217391304346	2.8099556291476393	13.140300128229498	7.027575083196418e-30	2.369464065551059e-27	1.8579922193643862e-27	CML10/ASUS1/ATPSK3/ANAC102/NA/ANAC002/ATL31/NA/ADH/SAP2/ZAT8/NA/NA/NA/NRP/AtZAT12/NHL3/ATPI4K/NA/NA/NA/PFK3/AtBBE22/ANAC091/AtSTOP1/ACBP3/AthCYSTM6/STMP5/NA/SRO5/NA/AtZAT6/NA/SGT1A/AtXTH22/ATPK19/TN3/SCL13/CBP1/AtBBE3/AtDMR6/NA/ACBP2/ATBCB/AtS40-2/AtCRL1/NA/CBP60G/AtFBA7/ATRMA3/AtBBE10/GAL1/NA/TN7/NA/NA/FLOT1/ATPME1/ATLPP1/NA/HUP54/DM10/NA/HUP32/AtC3H29/AtBBE6/NA/(AT)SRC2/HUP26/DVL10/BPS3/AtCML37/ATPUMP5/ATHSPRO2/PLA/CYP707A1/STZ/UGT73B3/AtGILP/DUF569/HSP17.6A/AtGDPD1/NA/ACR7/NA/NA/ATL56/ETR2/ATSPX1/HRM1/NA/HUP35/AtTEM1/HHO3/cMCU/AtPDC1/AtPPsPase1/AthCYSTM5/ATSUS4/AtC3H47/HSP17.4B/CYP81F2/AGC2/ATMES10/AtFBS1/HKL/FMO1/NA/RGAT1/CYP707A3/DREB2/PER4/MAP3K13/RHA2B/NA/DIN10/HSP17.6II/TN8/CML38/EXL1/NA/ATHSP22.0/AtWRKY22	123
GO:0009415	response to water	174/3361	475/21192	0.3663157894736842	2.3097185987879545	12.533821302158813	6.080403772916157e-29	1.7572366903727693e-26	1.3779200730503232e-26	AtLtpI-6/ANAC072/CRB/ASUS1/AtBAM1/AHG3/RD21/AZF2/ERF58/ATCIPK6/CP29C/AT-GTL1/UBC32/FLOE1/ATXDH1/PP2CG1/RDK1/ADH/AtDTX50/ATHB-7/RD19/ATCIPK14/ATP5CS/AtCLO3/RGLG1/AtLrgB/ALDH7B4/ATDI8/ERD14/XTH6/ATCSLD5/ATGSTU19/CBB3/RGLG2/ACS6/ATHPR1/ANAC019/ATGRP-3/ATBI-1/AKS1/ZIFL1/AtMTM1/AtMYB60/RD2/SAP5/ATSEH/ATHB-12/AtGRP4/ARCK1/PSB29/AtLtpI-5/ATCOR413-PM1/ATCTL1/PIP1;5/DRY2/CV/PROSCOOP14/AtREM4.2/ATNCED3/AtLEA4-5/ATHVA22C/ATMGL/LEA7/AtCor6.6/AtRbcX1/AHK2/PDH2/PPRT1/DREB19/ATLOX2/AtHsp90.2/ABI2/ATWRKY33/ATSTP13/Raf43/WSD6/XMPP/ANAC055/ESL1/VI1/ATEXO70B2/ATHVA22A/RAP2.1/AIF/ATMYB44/AtLEA5/ABF4/ADR1/NLP7/AtCRL1/AtPP2CF1/HAI1/CBP60G/AtREM4.1/LRK10L1.1/HIS4/ATSUS3/LDAP3/ATBRI1/AtRDUF2/AtLEA3/ANAC047/ATMYB29/STMP4/CHL/Rap2.6L/PYR1/AtRPK1/AtCOR47/ANNAT4/AtCML37/ACS2/COR78/CSI1/ATCBL1/STZ/AFL1/EDL3/AtMYB88/SMXL8/ATBG1/ATMYB2/ATCHIA/CuAOalpha3/AIRP1/ATGST1/NA/ERF55/ABR/NF-YB11/SINA2/LTI65/AtERF53/NA/HUP35/AtTMT1/AtEWR1/AtTYDC/GLYI4/ATWRKY54/AtHSPR/UGT76C2/ATGRP-5/GSM1/BRL3/SPCH/AFP2/WSD7/WSD1/AKR4C9/ARL2/CuAOalpha2/DAG2/AtCAPE9/CYP707A3/BDG1/DREB2/ABCG40/AtYUC6/ERF113/AtLEA4-2/LEA/AtATL78/CYP71B15/CLE25/LEA30/AtLtpI-11/ALKBH6/DREB2/ATDR4/ABI5/ATOXS3/AtMYB76/BHLH100	174
GO:0009414	response to water deprivation	167/3361	461/21192	0.36225596529284165	2.2841203262379945	12.102307662623366	3.501907656947247e-27	8.85544898750535e-25	6.943914261867764e-25	AtLtpI-6/ANAC072/CRB/ASUS1/AtBAM1/AHG3/RD21/AZF2/ERF58/ATCIPK6/CP29C/AT-GTL1/UBC32/ATXDH1/PP2CG1/RDK1/ADH/AtDTX50/ATHB-7/RD19/ATCIPK14/ATP5CS/AtCLO3/RGLG1/AtLrgB/ALDH7B4/ATDI8/ERD14/XTH6/ATCSLD5/ATGSTU19/CBB3/RGLG2/ACS6/ATHPR1/ANAC019/ATGRP-3/ATBI-1/AKS1/ZIFL1/AtMTM1/AtMYB60/RD2/SAP5/ATSEH/ATHB-12/AtGRP4/ARCK1/PSB29/AtLtpI-5/ATCOR413-PM1/ATCTL1/PIP1;5/DRY2/CV/PROSCOOP14/AtREM4.2/ATNCED3/AtLEA4-5/ATHVA22C/ATMGL/LEA7/AtCor6.6/AtRbcX1/AHK2/PDH2/PPRT1/DREB19/ATLOX2/AtHsp90.2/ABI2/ATWRKY33/ATSTP13/Raf43/WSD6/XMPP/ANAC055/ESL1/VI1/ATEXO70B2/ATHVA22A/RAP2.1/AIF/ATMYB44/AtLEA5/ABF4/ADR1/NLP7/AtCRL1/AtPP2CF1/HAI1/CBP60G/AtREM4.1/LRK10L1.1/HIS4/ATSUS3/LDAP3/ATBRI1/AtRDUF2/AtLEA3/ATMYB29/STMP4/CHL/Rap2.6L/PYR1/AtRPK1/AtCOR47/ANNAT4/AtCML37/ACS2/COR78/CSI1/ATCBL1/STZ/AFL1/EDL3/AtMYB88/SMXL8/ATBG1/ATMYB2/ATCHIA/CuAOalpha3/AIRP1/ATGST1/ABR/NF-YB11/SINA2/LTI65/AtERF53/NA/HUP35/AtTMT1/AtEWR1/AtTYDC/GLYI4/ATWRKY54/AtHSPR/UGT76C2/GSM1/BRL3/AFP2/WSD7/WSD1/AKR4C9/ARL2/CuAOalpha2/AtCAPE9/CYP707A3/BDG1/DREB2/ABCG40/AtYUC6/ERF113/AtLEA4-2/LEA/AtATL78/CYP71B15/CLE25/LEA30/AtLtpI-11/ALKBH6/DREB2/ATDR4/ABI5/ATOXS3/AtMYB76/BHLH100	167
GO:0009620	response to fungus	120/3361	387/21192	0.31007751937984496	1.9551213301689006	8.232889727293838	4.772729407979251e-14	1.0728035102602248e-11	8.412284465292082e-12	LACS2/ACX1/RD21/AAE3/ERF58/NA/ATPCB/ATSBT3.3/AtLYK3/ATPME3/AtCLO3/NA/ATLOX3/COR15B/ATCLH1/APG9/AtBBE19/LRR1/LTPG6/ATNPR3/NA/ATMLO2/ACBP3/BPL4/NA/APG7/anac081/AT-SYR1/WRKY4/ER/SGT1A/ATGRXS13/ATLOX2/CBP1/NA/FKBP15-2/ATWRKY33/ACD6/AtDMR6/AtMYB28/ATCNGC11/SSL5/AtSBT3.5/ATEXO70B2/LecRK-I.8/ATBFRUCT1/At17.1/ERF109/ATH5/ATMYB44/AGAL2/ATNR2/ADR1/CBP60G/NA/PXMT1/AT3-MMP/NA/MAPKKK5/NA/AtRLP52/ATMYB29/NA/AtCOR47/AtC3H29/DLO1/XLG2/AtRLP30/AtPME17/AP2C1/CYP707A1/ATHCHIB/AS1/ATBG1/ATCHIA/LTPG5/BPL2/AtILP/PRX62/At2-MMP/AtRLP17/PCC1/AtTSA1/AtMYB108/AtHIR2/ATSYP122/CYP71A13/FAMT/AtEWR1/DMS2/atPARG2/ATJRG21/CEP1/ATWRKY54/EDR4/ALPHA-DOX1/ATWRKY8/NA/CYP81F2/ATFH4/ATKTI1/FMO1/AtMYB3R4/NA/NA/BDG1/ERF104/PGN/AT5-MMP/POQR/CYP71B15/ATTI1/ATWAKL10/ATICS1/AZI1/ATMYB122/AtTLP8/AZI3/NRG1.3/JAO4	120
GO:0090693	plant organ senescence	69/3361	180/21192	0.38333333333333336	2.4170187444213034	8.288964575951148	2.2182724458328705e-13	4.4875651579198975e-11	3.51888060617909e-11	ANAC072/AT-RSH3/ALPHA/ASP3/At-NEET/AtS40.4/COR15B/TCP3/RCA/AtNPF7.3/MEE35/ANAC092/anac032/CHI/APG7/anac081/ATG11/CPR5/CV/MAPKKK18/ATSRG1/AtIAA17/AtPP2-A13/DA1/GATA21/TIFY8/ATNHL10/AtDMR6/GALT6/AtS40-2/DEAR4/AIF/AtLEA5/ABF4/HAI1/TCP10/ATMLO12/ANAC059/ANAC029/TCP5/DLO1/COR78/AtDMP1/PES2/PES1/ALD1/AtS40-7/ABR/LTI65/ATGLN1;1/anac046/At2-MMP/CIK3/AtS40-1/SENRK1/CGA1/ATWRKY28/CLE14/ATWRKY54/TCP17/ANAC042/LTPG14/AtS40-3/UGT76B1/APD7/CSAP/AtSWEET15/AtOCT1/AtWRKY22	69
