ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009534	chloroplast thylakoid	167/4638	452/26902	0.3694690265486726	2.1430478120337195	11.185844137900853	5.0111799499045166e-24	1.4134707724678302e-21	1.2828057955257974e-21	NDF4/NA/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/DRT112/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/GLDT/NdhN/EMB2784/PSAH-1/EMB3119/NA/OE23/EMB3113/PSAL/SHM1/CURT1B/ATFKBP13/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/CP29A/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/CSP41A/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/NA/PSB28/bS6c/OHP/FTSH8/PRK/ATF1/PETC/NDH18/LHCB4.2/NA/CHLM/PETE1/LHCB4.3/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/BPG1/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/ATSDX1/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/ACD1/LPA19/FBN10/bS21c/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/NA/PSBX/NA/PSB29/NDH-O/NA/TL17/DEG5/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/NA/STR10/PSAE-1/RIQ1/LTA2/DEG2/AtRbcX1/YCF37/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/ACM1/NA/H2B/CCL/PAM68/NA/PSAT2/PGRL2/CHL/PnsL2/ATFER1/GDSL1/RNH1C/AtTSA1/ATPE/AB180/RPL14/CLPP1/ELIP/VCCN2/RPOA/PSBK	167
GO:0031976	plastid thylakoid	168/4638	458/26902	0.36681222707423583	2.127637458549179	11.10929876685834	9.060710079921988e-24	1.4134707724678302e-21	1.2828057955257974e-21	NDF4/NA/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/DRT112/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/GLDT/NdhN/EMB2784/PSAH-1/EMB3119/NA/OE23/EMB3113/PSAL/SHM1/CURT1B/ATFKBP13/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/CP29A/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/CSP41A/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/NA/PSB28/bS6c/OHP/FTSH8/PRK/ATF1/PETC/NDH18/LHCB4.2/NA/CHLM/PETE1/LHCB4.3/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/BPG1/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/ATSDX1/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/ACD1/LPA19/FBN10/bS21c/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/NA/PSBX/NA/PSB29/NDH-O/NA/TL17/DEG5/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/NA/STR10/PSAE-1/RIQ1/LTA2/DEG2/AtRbcX1/YCF37/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/ACM1/NA/H2B/CCL/PAM68/NA/PSAT2/PGRL2/CHL/PnsL2/ATFER1/GDSL1/RNH1C/AtTSA1/NYE2/ATPE/AB180/RPL14/CLPP1/ELIP/VCCN2/RPOA/PSBK	168
GO:0009535	chloroplast thylakoid membrane	133/4638	363/26902	0.36639118457300274	2.12519526679235	9.851149720084562	4.779960176535767e-19	4.0168536999695046e-17	3.6455251190681404e-17	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/PGRL2/CHL/PnsL2/ATFER1/AtTSA1/ATPE/AB180/CLPP1/ELIP/PSBK	133
GO:0055035	plastid thylakoid membrane	135/4638	371/26902	0.3638814016172507	2.1106376598333934	9.831743241206711	5.14981243585834e-19	4.0168536999695046e-17	3.6455251190681404e-17	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/DRT112/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/PGRL2/CHL/PnsL2/ATFER1/AtTSA1/NYE2/ATPE/AB180/CLPP1/ELIP/PSBK	135
GO:0042651	thylakoid membrane	138/4638	394/26902	0.350253807106599	2.031592910474714	9.414905527477675	9.295474918827009e-18	4.875357159834459e-16	4.4246662482978057e-16	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/DRT112/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/mTERF6/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/NA/PGRL2/CHL/PnsL2/ATFER1/AtTSA1/NYE2/ATPE/AB180/CLPP1/ELIP/VCCN2/PSBK	138
GO:0034357	photosynthetic membrane	139/4638	398/26902	0.3492462311557789	2.025748622370152	9.40967783970048	9.375686845835497e-18	4.875357159834459e-16	4.4246662482978057e-16	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/DRT112/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/PSAO/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/mTERF6/STIC2/ATLOX2/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/NA/PGRL2/CHL/PnsL2/ATFER1/AtTSA1/NYE2/ATPE/AB180/CLPP1/ELIP/VCCN2/PSBK	139
GO:0019867	outer membrane	151/4638	495/26902	0.30505050505050507	1.7693981644822525	7.885735396627616	1.9522583286852178e-13	7.613807481872349e-12	6.909966979162153e-12	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/AtCHUP1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/At-NEET/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/ATOEP16-1/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/ATKO1/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/NA/STIC2/ATLOX2/KOC1/AtTPR7/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/AtCKS/ATTOC34/OEP2/PGRL2/CHL/PnsL2/ATFER1/NA/AtTSA1/ATMGD2/ATGIP1/ATPE/AB180/CLPP1/TRB2/ELIP/AtBCS1/AZI1/AZI3/PSBK/DAA1	151
GO:0031968	organelle outer membrane	151/4638	495/26902	0.30505050505050507	1.7693981644822525	7.885735396627616	1.9522583286852178e-13	7.613807481872349e-12	6.909966979162153e-12	NDF4/PPL1/PSBQ/ATG4/CRRL/CaS/DRN1/cL37/PSAN/ACR11/CYP20-3/NA/ATHMA8/ATPRX/LHCB5/NA/PSAH-2/NdhN/EMB2784/PSAH-1/EMB3119/OE23/EMB3113/PSAL/CURT1B/PSBQ/RBCS1A/CP24/OEP6/LHCA2*1/ATLFNR2/PnsL3/CP22/APX4/FKBP16-2/AtTic62/NA/PAM68L/CP29C/ATBCA1/GAPB/NA/cS23z/LIL3:1/NDF1/PSBW/MSP-1/AtCHUP1/PnsL1/CRR23/ATGSL1/ATRBP31/NA/PSB28/bS6c/OHP/FTSH8/PRK/PETC/NDH18/LHCB4.2/CHLM/LHCB4.3/At-NEET/PTAC16/TAPX/NA/bL12cx/ATCYP38/PSAE-2/PPD5/NDH-M/FTSZ2-2/POR/MET1/ATFTSZ1-1/atylmg3/NA/PSAK/FBN1b/LHCA2/PSAF/NDF6/ATOEP16-1/NA/RCA/NA/FBN10/ATPD/PSAG/LQY1/ATCPN21/ATEGY2/PSBX/NA/PSB29/NDH-O/TL17/PTAC5/CURT1C/PPD1/PSAD-1/CYP37/LHCB3/BETA/FBN5/ATKO1/NDF2/CGR2/CV/ATNCED3/AB140/NA/PSAE-1/RIQ1/DEG2/YCF37/NA/STIC2/ATLOX2/KOC1/AtTPR7/emb1211/ATL25/LHCA1/CRR3/NA/CARK2/NA/CCL/AtCKS/ATTOC34/OEP2/PGRL2/CHL/PnsL2/ATFER1/NA/AtTSA1/ATMGD2/ATGIP1/ATPE/AB180/CLPP1/TRB2/ELIP/AtBCS1/AZI1/AZI3/PSBK/DAA1	151
GO:0048046	apoplast	105/4638	337/26902	0.3115727002967359	1.8072291469130637	6.80620244638249	2.342330733398995e-10	8.120079875783182e-9	7.369438213851809e-9	DEG24/GAPA-2/PSBQ/NA/CRB/RBCS3B/CYP20-3/RBCS1B/2CPA/PMDH2/RD21/NA/NA/GLDT/AAE3/OE23/SHM1/RBCS1A/ATLFNR2/ATBCA1/GOX2/ATPCB/GAPB/NA/ATSBT3.3/CSP41A/SBPASE/MSP-1/ATGSL1/CPN60B/PRK/ATPME3/SKU5/PGK1/AXY8/ARC2/cfbp1/2-Cys/ATHPR1/ATGSTU20/AtBBE19/RCA/ATCAD9/ATSBT1.3/ROC1/ATCPN21/BGLU37/RALFL24/ATPGMP/ATGER1/ATCTL1/RALF34/BETA/STMP5/CHI/NA/CLE41/PROSCOOP14/NA/NA/ATBXL1/AtSBT3.5/AGAL2/GGT1/NA/SVB2/AMY1/ESM1/CLE12/GAL1/GGL5/STMP4/GGL19/AtENODL19/ATGSTF2/AtPME17/AGP8/GDSL1/STMP8/CCLP/IDA/CLE42/At2-MMP/ABO4/CLE26/CLE14/AtMC9/NA/CLE43/NA/PRX52/PME53/PIP1/NTCD4/CLE17/RALF18/PROSCOOP4/CLE25/ATRALF1/AZI1/ANP3/PROSCOOP1/NA/IDL3/ATSBT1.1	105
GO:0009543	chloroplast thylakoid lumen	27/4638	52/26902	0.5192307692307693	3.011717583839188	6.627420495371778	1.2056287156163644e-8	3.761561592723057e-7	3.413832889482127e-7	PPL1/PSBQ/PSAN/DRT112/NA/OE23/ATFKBP13/PSBQ/PnsL3/APX4/FKBP16-2/MSP-1/PnsL1/NA/NA/PETE1/ATCYP38/LPA19/NA/TL17/DEG5/PPD1/CYP37/YCF37/NA/PAM68/PnsL2	27
