ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046527	glucosyltransferase activity	81/4604	227/26722	0.3568281938325991	2.0710605985218753	7.393772675215403	1.6695419936732555e-11	1.2471478692739219e-8	1.1089273663240255e-8	ASUS1/UGT1/ATSAGT1/UGT78D1/XTH6/ATCSLG2/ATCSLD5/XTH8/UGT87A2/NA/ATGSL12/ATCSLC08/ATSPS2F/UGT71B6/ATCESA3/NA/AtXTH22/ATCSLC05/EXGT-A1/ATTPS1/ATCSLD2/UGT76E11/UGT73B5/ATCESA2/NA/AtUGT85A2/XTH23/XTH9/ATCSLA11/ATUGT85A1/ATSUS3/ATHEX3/UGT89C1/NA/XTH7/ATCSLA03/NA/AtXTH32/NA/XTH30/ATXTH17/UGT73B3/ATSUS5/NA/UGT89B1/NA/UGT72E1/UGT73B2/AtUGT85A4/TEC3/XTH29/UGT73B1/ATCSLA10/UGT76C2/UGT73C7/UGT91C1/ATSUS4/ATCSLC12/XTH10/UGT73B4/XET/NA/UGT76B1/UGT72B3/UGT76C5/UGT84A1/XTH16/ATXTH14/NA/ATCSLD1/XTH15/NA/UGT78D3/UGT71B5/AtUGT85A7/UGT84A4/NA/ATCSLA14/UGT71D1/UGT76E12/ATGSL07	81
GO:0016758	hexosyltransferase activity	113/4604	392/26722	0.288265306122449	1.6731158797141794	6.125316364653269	7.312581866794466e-9	2.731249327247733e-6	2.428546925235425e-6	AtSIP2/ASUS1/UGT1/ATSAGT1/SEC/FRA8/UGT78D1/XTH6/ATCSLG2/ATCSLD5/GALS1/XTH8/GATL3/UGT87A2/NA/AtMSR1/NA/ATGSL12/ATCSLC08/ATSPS2F/UGT71B6/ATCESA3/NA/GATL6/AtXTH22/ATCSLC05/GAUT4/EXGT-A1/ATTPS1/ATCSLD2/GALT6/UGT76E11/UGT73B5/ATCSLA09/ATCESA2/NA/AtUGT85A2/GATL10/XTH23/XTH9/ATCSLA11/ATUGT85A1/NA/ATSUS3/ATHEX3/UGT89C1/NA/HPGT2/XTH7/ATCSLA03/NA/AtXTH32/atfut4/NA/XTH30/ATXTH17/UGT73B3/ATSUS5/NA/NA/NA/AtMSR2/UGT89B1/NA/UGT72E1/DSA1/GATL8/UGT73B2/AtUGT85A4/AtDPE1/TEC3/XTH29/ATMGD2/UGT73B1/ATCSLA10/UGT76C2/UGT73C7/UGT91C1/ATSUS4/AtGATL5/ATCSLC12/XTH10/UGT73B4/GALT1/NA/NA/XET/NA/UGT76B1/AtGALT31A/UGT72B3/UGT76C5/UGT84A1/DIN10/XTH16/ATXTH14/NA/ATCSLD1/XTH15/NA/NA/UGT78D3/UGT71B5/AtUGT85A7/UGT84A4/NA/ATCSLA14/UGT71D1/AtGolS4/UGT76E12/FUT8/GAUT12/ATGSL07	113
GO:0008194	UDP-glycosyltransferase activity	81/4604	258/26722	0.313953488372093	1.822212232032813	6.054623283346003	1.684897977141112e-8	4.195395963081369e-6	3.73042324061769e-6	ASUS1/UGT1/ATSAGT1/SEC/FRA8/UGT78D1/ATCSLD5/GALS1/GATL3/UGT87A2/NA/NA/ATGSL12/ATSPS2F/UGT71B6/NA/GATL6/GAUT4/ATTPS1/ATCSLD2/UGT76E11/RRT1/UGT73B5/NA/AtUGT85A2/GATL10/MUCI21/NA/ATUGT85A1/NA/ATSUS3/ATHEX3/UGT89C1/NA/NA/NA/XGD1/UGT73B3/ATSUS5/NA/NA/NA/UGT89B1/NA/UGT72E1/GATL8/UGT73B2/NA/AtUGT85A4/TEC3/ATMGD2/UGT73B1/UGT76C2/UGT73C7/UGT91C1/ATSUS4/AtGATL5/UGT73B4/GALT1/NA/NA/NA/NA/UGT76B1/NA/UGT72B3/UGT76C5/UGT84A1/NA/ATCSLD1/NA/UGT78D3/UGT71B5/AtUGT85A7/UGT84A4/NA/UGT71D1/AtGolS4/UGT76E12/GAUT12/ATGSL07	81
GO:0030247	polysaccharide binding	39/4604	95/26722	0.4105263157894737	2.3827289770908595	6.159689659068278	3.85591038691906e-8	7.200912647571345e-6	6.4028406688050706e-6	CRB/NA/AtPDCB1/PDCB3/XTH6/NA/XTH8/E13L3/WAK2/ATCTL1/WAKL2/AtXTH22/PDCB5/EXGT-A1/ESV1/NA/XTH23/LRK10L3/XTH9/LRK10L1.1/XTH7/PTST/AtXTH32/NA/XTH30/ATXTH17/WAK3/FLA4/ATL96/XTH29/XTH10/XET/NA/NA/ARD/XTH16/ATXTH14/ATWAKL10/XTH15	39
GO:0030246	carbohydrate binding	57/4604	165/26722	0.34545454545454546	2.005046994708159	5.908264353785122	5.816058147150984e-8	8.68919087184357e-6	7.72617408600478e-6	CRB/NA/AtPDCB1/AN5/PDCB3/XTH6/NA/COR15B/XTH8/NA/ArathEULS3/E13L3/WAK2/F-ATMBP/ATCTL1/NDF2/AtGH9C2/AFA1/WAKL2/AtXTH22/AtPP2-A13/PDCB5/EXGT-A1/ESV1/NDF5/NA/XTH23/LRK10L3/XTH9/LRK10L1.1/XTH7/PTST/AtXTH32/NA/XTH30/ATXTH17/WAK3/AKINBETA1/FLA4/ATL96/XTH29/AtJAC1/ATPP2-B11/ATPP2-A5/XTH10/NA/GALT1/XET/NA/NA/ARD/XTH16/ATXTH14/ATWAKL10/XTH15/AtPP2-B8/NA	57
GO:0080043	quercetin 3-O-glucosyltransferase activity	32/4604	73/26722	0.4383561643835616	2.544255739499899	6.027833946090499	1.0127792094307117e-7	1.2609101157412361e-5	1.1211643528961036e-5	UGT1/ATSAGT1/UGT78D1/NA/UGT71B6/NA/UGT76E11/UGT73B5/AtUGT85A2/ATUGT85A1/NA/NA/UGT73B3/UGT89B1/NA/UGT73B2/AtUGT85A4/UGT73B1/UGT76C2/UGT73B4/NA/UGT76B1/UGT72B3/UGT76C5/UGT84A1/NA/UGT78D3/UGT71B5/AtUGT85A7/UGT84A4/UGT71D1/UGT76E12	32
GO:0035251	UDP-glucosyltransferase activity	55/4604	160/26722	0.34375	1.9951536707211122	5.760243447336291	1.1888439799271664e-7	1.2686663614365618e-5	1.1280609794496872e-5	ASUS1/UGT1/ATSAGT1/UGT78D1/ATCSLD5/UGT87A2/NA/ATGSL12/ATSPS2F/UGT71B6/NA/ATTPS1/ATCSLD2/UGT76E11/UGT73B5/NA/AtUGT85A2/ATUGT85A1/ATSUS3/ATHEX3/UGT89C1/NA/NA/NA/UGT73B3/ATSUS5/NA/UGT89B1/NA/UGT72E1/UGT73B2/AtUGT85A4/TEC3/UGT73B1/UGT76C2/UGT73C7/UGT91C1/ATSUS4/UGT73B4/NA/UGT76B1/UGT72B3/UGT76C5/UGT84A1/NA/ATCSLD1/NA/UGT78D3/UGT71B5/AtUGT85A7/UGT84A4/NA/UGT71D1/UGT76E12/ATGSL07	55
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	101/4604	375/26722	0.2693333333333333	1.5632331306110627	5.011402961752988	1.5107601100666898e-6	1.4106722527747716e-4	1.25432845980537e-4	AtSIP2/AtBAM1/A/N-InvC/BXL6/BGAL3/BGLU1/XTH6/AXY8/PGF16/XTH8/AtGH9B7/ATBETAFRUCT4/BG14/BGAL4/PGF13/BGLU37/BGLU5/PGF10/PGF4/NA/CHI/NA/AtGH9C2/PdBG4/BGLU16/NA/ATLDA/BGLU44/NA/AtGH9B13/ATFXG1/NA/NA/BGLU6/ATBXL1/VI1/BGLU8/ATBFRUCT1/A/N-InvH/AGAL2/NA/ATGH9B1/AtBGAL5/AMY1/XTH9/ATHEX3/XTH7/BGLU47/AtGUS3/NA/ATXYN1/AtXTH32/AtBGAL10/XTH30/NA/NA/NA/ATHCHIB/ATISA1/AtBGLU10/ATBG1/ATCHIA/A/N-InvI/NA/BAM6/NA/AtGH9B8/NA/ATBG_PPAP/BGLU46/XTH29/ADPG1/NA/PGF12/atPARG2/PGF11/NA/ATTRE1/NA/ChiC/AtGH9B5/BGLU17/XET/BGLU28/NA/NA/AtTPPD/ATCEL2/BGLU30/NA/ATGH9A2/NA/ATBXL2/BGLU45/NA/AtcwINV5/ATCEL3/BGAL7/NA/MAN1/AtMAN6	101
GO:0016798	hydrolase activity, acting on glycosyl bonds	113/4604	445/26722	0.2539325842696629	1.4738458985347376	4.598861441300413	7.79039537517152e-6	6.466028161392362e-4	5.749402902611963e-4	NA/AtSIP2/AtBAM1/A/N-InvC/BXL6/BGAL3/RLM3/BGLU1/XTH6/AXY8/PGF16/XTH8/AtGH9B7/ATBETAFRUCT4/BG14/BGAL4/PGF13/BGLU37/BGLU5/PGF10/PGF4/NA/NA/CHI/NA/AtGH9C2/PdBG4/BGLU16/NA/ATLDA/BGLU44/NA/AtGH9B13/ATFXG1/NA/NA/BGLU6/ATBXL1/VI1/BGLU8/ATBFRUCT1/A/N-InvH/AGAL2/RMG1/NA/ATGH9B1/ADR2/AtBGAL5/AMY1/XTH9/TN7/NA/ATHEX3/XTH7/BGLU47/AtGUS3/NA/ATXYN1/AtXTH32/AtBGAL10/XTH30/NA/NA/NA/ATHCHIB/ATISA1/AtBGLU10/ATBG1/ATCHIA/CHS1/A/N-InvI/NA/NA/BAM6/NA/AtGH9B8/NA/ATBG_PPAP/BGLU46/XTH29/ADPG1/NA/PGF12/atPARG2/PGF11/NA/ATPP2-A5/ATTRE1/NA/ACQOS/ChiC/AtGH9B5/BGLU17/XET/BGLU28/NA/NA/AtTPPD/ATCEL2/BGLU30/NA/NA/ATGH9A2/NA/ATBXL2/BGLU45/NA/AtcwINV5/ATCEL3/BGAL7/NA/MAN1/AtMAN6	113
GO:0080044	quercetin 7-O-glucosyltransferase activity	25/4604	62/26722	0.4032258064516129	2.340356211989574	4.820666503747721	1.490850644263641e-5	0.0010727847274003255	9.538887662785957e-4	UGT1/ATSAGT1/NA/UGT76E11/UGT73B5/AtUGT85A2/ATUGT85A1/NA/NA/UGT73B3/UGT89B1/UGT73B2/AtUGT85A4/UGT73B1/UGT76C2/UGT73B4/NA/UGT76B1/UGT76C5/UGT84A1/NA/AtUGT85A7/UGT84A4/UGT71D1/UGT76E12	25
GO:0019900	kinase binding	43/4604	133/26722	0.3233082706766917	1.8765081687711893	4.62329782164503	1.5797365463726347e-5	0.0010727847274003255	9.538887662785957e-4	AHG3/ATCIPK14/ABI1/NA/AtEPFL9/ATGER1/MARD1/ATCBL10/anac081/ATG11/AtREM4.2/MAPKKK18/MAPKKK14/CYCP4;1/AHK2/ARAC6/AtPERK10/ARAC5/AtREM4.1/FLZ6/NA/AtCDC20.1/ATCBL1/ARAC3/EPF2/AHP1/AtTMT1/MAPKKK17/ANQ1/ATCDT1A/CYCP2;1/ARAC8/cycp3;1/AGC2/AtCDC20.2/MAPKKK19/ARAC7/ARAC9/CYCP4/PTL/ARAC2/AHP4/IRM1	43
GO:0016762	xyloglucan:xyloglucosyl transferase activity	16/4604	32/26722	0.5	2.902041702867072	4.911812965355349	2.1443822586426896e-5	0.0013348779560050743	0.0011869343905294184	XTH6/XTH8/AtXTH22/EXGT-A1/XTH23/XTH9/XTH7/AtXTH32/XTH30/ATXTH17/XTH29/XTH10/XET/XTH16/ATXTH14/XTH15	16
GO:0003777	microtubule motor activity	21/4604	49/26722	0.42857142857142855	2.4874643167432047	4.754772560582123	2.3703843932792146e-5	0.001362059339830441	0.001211103281100554	NA/KICP-02/NA/ARK3/ATNACK1/PAKRP2/ATK5/ATK1/RSW7/NA/NA/POK2/ZCF125/KINESIN-12E/NA/ATK3/NA/NA/KINESIN-12B/NA/NA	21
GO:0015171	amino acid transmembrane transporter activity	30/4604	84/26722	0.35714285714285715	2.0728869306193376	4.493284057936038	3.6530021729934425e-5	0.0019491375880186439	0.001733116068540498	SIAR1/AAT1/LAX1/AAP6/ATOEP16-1/AtCAT2/AtAVT3/ANT1/ATPROT3/AtAVT6/NA/BOU/AtAUX1/LAX2/AtLHT1/AtAvt6D/UMAMIT28/ATPROT2/AtCAT3/LAX3/NA/NA/UMAMIT44/NA/NA/UMAMIT29/ATMBAC1/LHT7/NA/NA	30
GO:0019187	beta-1,4-mannosyltransferase activity	9/4604	13/26722	0.6923076923076923	4.018211588585176	4.966079051604277	4.8594352713811706e-5	0.002268748842326084	0.002017305037000999	ATCSLD5/AtMSR1/ATCSLD2/ATCSLA09/ATCSLA11/ATCSLA03/AtMSR2/ATCSLA10/ATCSLA14	9
