ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0019684	photosynthesis, light reaction	104/5089	165/21192	0.6303030303030303	2.6247557119634144	11.77822758991573	1.4555319016283944e-26	3.024595291583804e-23	2.4805327881435482e-23	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/LHCA3/LHCA1/LHCB3/CP24/LHCB5/PSBW/HCF173/PSAN/OHP/LHB1B2/MSP-1/PGRL1A/PSBQ/cfbp1/PSAO/MET1/HCF244/OEC33/AB140/LHCA2/PSB27/NDF2/PSBQ/NDF1/TROL/FTSH1/PETC/PSBY/FTSH5/ATPC1/PSBR/ATSIG5/ATPD/Lhca5/LQY1/PSAG/AtTLP18.3/CRR3/MPH2/LHCB4.1/ATFD2/STN7/ATCYP38/ATHDA14/PPL1/LIL8/PPD6/DEG1/HCF145/NA/FTSH2/ADS3/AB165/ATLFNR1/AtPGR5/FAD6/ATTS02/LHCA2*1/PPD1/PGRL1B/LUT2/PnsL2/DEG13/PSB29/OHP2/CRR1/NA/NA/ATFRO7/AB180/ABC1K1/PnsL1/NA/CRR23/SEP2/LPA1/CRR31/DEG2/DEG8/HCF136/CPFTSY/DEG11/BICAT1/ABC4/NDF4/FIB/AtLHCB7/NDF5/NDF6/ABI2/PnsL3/PPD7/NA/PQL3/YS1/PSBM/PSBB/PETA	104
GO:0015979	photosynthesis	127/5089	227/21192	0.5594713656387665	2.3297931186120535	11.323694163308238	3.7864058056650847e-25	3.934075632086023e-22	3.226416315458828e-22	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/LHCA3/LHCA1/GAPA/LHCB3/CP24/LHCB5/PSBW/HCF173/PSAN/OHP/LHB1B2/MSP-1/PGRL1A/PSBQ/cfbp1/PSAO/MET1/RPOD1/HCF244/ATKEA3/OEC33/EMB3119/AB140/LHCA2/PSB27/NDF2/PSBQ/NDF1/TROL/ATKEA1/RBCS1A/FTSH1/PETC/PSBY/FTSH5/ATPC1/PSBR/ATSIG5/ATPD/Lhca5/LQY1/PSAG/AtTLP18.3/CRR3/MPH2/LHCB4.1/SBPASE/ATFD2/STN7/ATCYP38/ATHDA14/PPL1/LIL8/PPD6/DEG1/HCF145/CP12/NA/FTSH2/ADS3/AB165/ATLFNR1/AtPGR5/FAD6/ATTS02/GAPB/LHCA2*1/PPD1/RBCS3B/NA/PGRL1B/LUT2/PnsL2/ATBCA1/DEG13/PSB29/OHP2/AtProRS-Org/CRR1/NA/NA/ATFRO7/AB180/CLPP6/ABC1K1/PnsL1/NA/CRR23/SEP2/LPA1/CRR31/DEG2/PGK1/DEG8/HCF136/CPFTSY/DEG11/AtcFBP/BICAT1/FUM2/ABC4/NA/ATGPT2/NDF4/FIB/AtLHCB7/NDF5/NDF6/STZ/ABI2/PnsL3/PPD7/NA/PSBP-2/PQL3/YS1/ATFER1/PSBM/PSBB/PETA/PSBT	127
GO:0009451	RNA modification	171/5089	360/21192	0.475	1.9780310473570444	10.52148313123698	1.236365886586086e-22	8.563894374419622e-20	7.023425860992539e-20	ATRBP31/NA/AGL26/ALKBH10B/NA/AtTRM4d/ATIPT3/NA/NA/ECD1/NA/NA/HEMC/MORF5/NA/NA/NA/NA/NA/MEF26/NA/POCO1/NA/NA/NA/NA/DTWD2A/ATECB2/NA/MTSF1/DOT4/NA/OTP72/NA/OTP90/NA/NA/NA/NA/MEF22/NA/NA/NA/NA/NA/AtTRM4f/NA/NA/MEF35/NA/SSTPR/AtTRM10/NA/NA/NA/LOI1/ABO8/SLO2/NA/NA/NA/NA/MEF10/NA/NA/RARE1/MEF37/MEF25/PDM1/NA/NA/MEF8S/MEF18/NA/TRUA5/NA/NA/GR-RBP3/NA/NA/NA/GEND1/NA/NA/NA/MEF21/NA/NA/MEF9/EMB2744/NA/PPR96/NA/NA/NA/NA/NA/NA/NA/CWM1/MEF20/COD1/NA/NA/NA/NA/NA/OTP84/EMB2758/NA/NA/RLUA2/GRS1/NA/NA/MEF13/EMB3102/NA/NA/OTP81/NA/MEF1/NA/NA/NA/NA/NA/SLG1/NA/NA/NA/MEF32/NA/MEF12/NA/YS1/MEF3/SLO1/NA/NA/NA/NA/ATIPT7/NA/NA/NA/NA/OTP80/NA/NA/NA/AtTRM7c/MEF29/NA/NA/AHG11/NA/NA/NA/NA/NA/OTP71/NA/NA/REME1/NA/NA/NA/REME2/MEF19/ATIPT1	171
GO:0036294	cellular response to decreased oxygen levels	124/5089	243/21192	0.5102880658436214	2.124980289125177	9.915279394382802	5.3853024598702114e-20	2.23813170232206e-17	1.835537827901026e-17	CML10/ATHSP17.4/ADH/PDC2/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/CP12/AtDMR6/ATXTH18/NA/ATHSP22.0/HSP17.6II/AT-HSP17.6A/STMP5/NA/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATGID1A/ATWRKY70/ASUS1/AthCYSTM6/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	124
GO:0071453	cellular response to oxygen levels	124/5089	243/21192	0.5102880658436214	2.124980289125177	9.915279394382802	5.3853024598702114e-20	2.23813170232206e-17	1.835537827901026e-17	CML10/ATHSP17.4/ADH/PDC2/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/CP12/AtDMR6/ATXTH18/NA/ATHSP22.0/HSP17.6II/AT-HSP17.6A/STMP5/NA/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATGID1A/ATWRKY70/ASUS1/AthCYSTM6/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	124
GO:0071456	cellular response to hypoxia	123/5089	241/21192	0.5103734439834025	2.1253358272541294	9.877040698124295	7.470831454623802e-20	2.5873979604513765e-17	2.1219782675501644e-17	CML10/ATHSP17.4/ADH/PDC2/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/AtDMR6/ATXTH18/NA/ATHSP22.0/HSP17.6II/AT-HSP17.6A/STMP5/NA/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATGID1A/ATWRKY70/ASUS1/AthCYSTM6/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	123
GO:0036293	response to decreased oxygen levels	132/5089	275/21192	0.48	1.9988524268029082	9.372523381705149	2.9323369297833528e-18	8.704851628699724e-16	7.139027803487592e-16	CML10/ATHSP17.4/ADH/PDC2/AOAT1/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/CP12/AtDMR6/ALAAT2/ATXTH18/NA/ATHSP22.0/HSP17.6II/CIPK25/AT-HSP17.6A/STMP5/NA/ERF74/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATEDS1/ATGID1A/ATPAD4/ATWRKY70/ASUS1/AthCYSTM6/ROPGAP4/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/ATSUS2/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	132
GO:0070482	response to oxygen levels	132/5089	276/21192	0.4782608695652174	1.9916102078652167	9.321692403435978	4.30333812027602e-18	1.1177920767416962e-15	9.167242653587996e-16	CML10/ATHSP17.4/ADH/PDC2/AOAT1/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/CP12/AtDMR6/ALAAT2/ATXTH18/NA/ATHSP22.0/HSP17.6II/CIPK25/AT-HSP17.6A/STMP5/NA/ERF74/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATEDS1/ATGID1A/ATPAD4/ATWRKY70/ASUS1/AthCYSTM6/ROPGAP4/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/ATSUS2/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	132
GO:0001666	response to hypoxia	130/5089	271/21192	0.4797047970479705	1.9976231202673593	9.291770744473242	5.629775839044564e-18	1.2998526881705116e-15	1.0660359161886724e-15	CML10/ATHSP17.4/ADH/PDC2/AOAT1/CBP1/SAP2/UGT73B3/HRU1/FBA6/DOGT1/TN7/HUP26/AtDMR6/ALAAT2/ATXTH18/NA/ATHSP22.0/HSP17.6II/CIPK25/AT-HSP17.6A/STMP5/NA/ERF74/DIN10/AtNUDT7/NA/AGC2/DREB2/ATBCB/ATEDS1/ATGID1A/ATPAD4/ATWRKY70/ASUS1/AthCYSTM6/NA/PFK3/HSP17.6A/NA/HSP17.8/HSP15.7/ATHSP101/ATPSK3/ATGA2OX2/ATGSTF5/cMCU/ATMBF1C/AtC3H29/ETR2/NA/ATWRKY46/SRO5/IQM4/HUP40/NA/CID1/ATSERK4/ATOPR1/ANAC002/NA/BBX29/AtZAT12/AtBBE22/DUF569/NA/AtPPsPase1/AtERF71/NA/AtGDPD1/HRM1/NA/ATSPX1/FLOT1/AtFBS1/NA/CBP60G/NA/SCL13/ZAT8/AtPDC1/ATPK19/AtZAT6/AtGDPD2/STZ/AT-POX/HHO2/ACBP3/AtBBE3/PER4/CYP707A3/NA/CML38/AtXTH22/NA/AAD6/NA/PROPEP3/ATL14/HRA1/DVL10/ATL23/NA/AtBBE6/ATLPP1/AtERF73/HUP29/NA/DIC2/FMO1/BPS3/AtCML37/ATSUS4/TN8/ATSUS2/NA/HSP17.4B/HUP32/AtC3H47/RGAT1/ATHSFA2/EXL1/AthCYSTM5/ARI12/NA/PLA/NA/CBSX5/ZAT7/WIP5	130
GO:0009415	response to water	192/5089	475/21192	0.40421052631578946	1.6832441488866594	8.466381764518681	9.22919318816638e-16	1.9178263445009738e-13	1.5728488180675125e-13	ABA1/LHCB2/LHCB2/ATGRP7/ADH/RD19/AtLrgB/NF-YB2/LEA7/ATHPR1/AAO4/AtLtpI-5/AtTCTP1/ATKEA1/CRB/ATPHS2/LTP3/AtLEA3/LTI65/SNRK2-2/ATGSTU17/ALDH7B4/ANAC019/ATCSP2/ALDH10A8/SNRK2-3/Rap2.6L/AtPGR5/AtLtpI-11/PPRT1/RS5/AtAVP1/ASPG1/ANAC047/ABR/RDK1/ZIFL1/AKR4C9/HAI1/ALDH3/ATGSTU19/NA/NA/SLAH3/NA/DEG13/AtGolS1/AtLEA4-5/PSB29/NF-YB3/ATPAL1/DREB19/DREB2/RD2/AHK1/ALDH10A9/ESL1/AT-GTL1/bZIP62/ATDI8/ANAC055/UGT74E2/GLYI4/ATPIP1/AtPIP2;1/AtLtpI-6/SMXL7/ABC1K1/ATXDH1/AtCAPE9/AtREM4.2/UGT76C2/AtOCT4/ATHH2/AKR4C8/ATSUS3/LEA30/EDL3/AtPP2CF1/DREB2/AtCLO3/ATSEH/CuAOalpha2/AtRbcX1/ATWRKY70/AIF/ASUS1/GORK/Raf43/AHK4/ATCML9/ATCSLD5/LDAP2/ATCTL1/ATBZIP12/ATHB-7/PIP2;2/AtCOR47/CHL/ATDI21/ATGST1/ATMYB15/AtTYDC/AtFKBP16-1/ACS2/CuAOalpha3/ATMBF1C/EGR2/MYBS2/ATCHIA/ARR10/PHS1/ERD6/ATWRKY46/AtERF53/COR78/ATRD22/ATRH25/ATNCED3/ATWRKY54/ATDR4/AtMDAR3/ERF113/CID1/AtMYB60/ATMEK1/AtDTX50/AtDRIP2/ATSTP13/ABIG1/ATPK10/XTH6/BRL1/ANAC072/AtERF71/AtMYB124/ATP5CS/AtLEA5/AtEWR1/ATCBL9/ATMGL/STMP4/LDAP3/CBP60G/AZF2/SINA2/WSD1/LEA/RGLG1/AtSUN3/STMP3/AtATL78/STZ/ABI2/NA/AT-POX/HIS1-3/CFM9/WSD6/BRL3/ERF55/ATMYB2/AtRDUF2/BDG1/ARCK1/CYP707A3/BHLH100/XERO1/ABI5/NA/AtHSPR/DEWAX/AtLEA4-2/SPCH/ATHVA22C/LRK10L1.1/AtWIND1/ATGRP-5/AtGolS2/ATMYB29/SLG1/ATWRKY33/AFP2/LEA27/AtCML37/CBL5/ATCBF3/CLE25/AIK1/NA/ARL2/PER3	192
