ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009534	chloroplast thylakoid	250/6801	452/26902	0.5530973451327433	2.187828963205567	14.813990359985757	9.981727861589821e-43	2.672124533766548e-40	2.402568111500624e-40	LHCB2/AtFBA1/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/APE2/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/HCF244/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/CLD1/EMB3119/PDE334/AB140/DRT112/AtGLDP1/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/NA/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/HHL1/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/NA/CCL/NA/PSAD-1/SHM1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/NA/BETA/NA/PPL1/ATF1/HEMG1/LIL8/PPD6/DEG1/NA/ATSDX1/FKBP16-2/ACR11/LIL3:1/IGPS/NA/NA/DJA5/NA/CURT1C/FBN4/NA/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/ALB-1V/AtPGR5/GLDT/LIL3:2/ATFKBP13/GAPB/PTAC16/NA/DiT1/LHCA2*1/PPD1/NA/APX4/CYP20-3/CSP41A/PGRL1B/CP29B/SOQ1/AtHBP5/PnsL2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/ELIP2/bS6c/DCT/NA/NA/OHP2/EMB2784/AtSSI2/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/CLPP6/NA/CS17/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/NDC1/NA/ATPRX/AtTic62/AtOCT4/bS21c/MFP1/CRR23/SEP2/NA/NA/FBN10/AtRbcX1/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/DEG8/HCF136/CPFTSY/NA/CHL/DEG11/PETE1/BICAT1/PDE226/NA/NDH-M/RNH1C/ATPI/NA/AOS/CLPP1/ATNCED3/NA/H2B/NDF4/PORA/AOC2/FIB/AthCF1beta/STR10/FKBP17-1/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PQL3/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	250
GO:0031976	plastid thylakoid	252/6801	458/26902	0.5502183406113537	2.1764407879909773	14.770697568531189	1.5905503177181832e-42	2.672124533766548e-40	2.402568111500624e-40	LHCB2/AtFBA1/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/APE2/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/HCF244/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/CLD1/EMB3119/PDE334/AB140/DRT112/AtGLDP1/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/NA/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/HHL1/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/NA/CCL/NA/PSAD-1/SHM1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/NA/BETA/NA/PPL1/ATF1/HEMG1/LIL8/PPD6/DEG1/NA/ATSDX1/FKBP16-2/ACR11/LIL3:1/IGPS/NA/NA/DJA5/NA/ATFC-II/CURT1C/FBN4/NA/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/ALB-1V/AtPGR5/GLDT/LIL3:2/ATFKBP13/GAPB/PTAC16/NA/DiT1/LHCA2*1/PPD1/NA/APX4/CYP20-3/CSP41A/PGRL1B/CP29B/SOQ1/AtHBP5/PnsL2/NYE2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/ELIP2/bS6c/DCT/NA/NA/OHP2/EMB2784/AtSSI2/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/CLPP6/NA/CS17/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/NDC1/NA/ATPRX/AtTic62/AtOCT4/bS21c/MFP1/CRR23/SEP2/NA/NA/FBN10/AtRbcX1/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/DEG8/HCF136/CPFTSY/NA/CHL/DEG11/PETE1/BICAT1/PDE226/NA/NDH-M/RNH1C/ATPI/NA/AOS/CLPP1/ATNCED3/NA/H2B/NDF4/PORA/AOC2/FIB/AthCF1beta/STR10/FKBP17-1/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PQL3/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	252
GO:0042651	thylakoid membrane	220/6801	394/26902	0.5583756345177665	2.2087077370676305	14.058620248048552	1.3789418946099435e-38	1.5444149219631366e-36	1.3886186798352763e-36	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/ATCAO/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/HCF173/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/HCF244/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/DRT112/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/BCM1/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/STN7/ftsh9/ATCYP38/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/NA/DJA5/NA/ATFC-II/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/GAPB/PTAC16/NA/LHCA2*1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/SOQ1/AtHBP5/PnsL2/NYE2/TATA/NA/ATBCA1/NA/NA/DEG13/PSB29/APG2/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/CRP1/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/HCF136/NA/HCF153/CHL/DEG11/BICAT1/NA/NDH-M/ATPI/AOS/CLPP1/NA/ATNCED3/NA/NDF4/AOC2/FIB/CID1/AthCF1beta/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	220
GO:0034357	photosynthetic membrane	221/6801	398/26902	0.5552763819095478	2.1964483496736738	13.987546634056162	2.996825806802114e-38	2.5173336777137758e-36	2.2633921225058073e-36	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/ATCAO/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/HCF173/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/PSAO/CHLM/MET1/CaS/NA/CP22/HCF244/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/DRT112/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/BCM1/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/STN7/ftsh9/ATCYP38/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/NA/DJA5/NA/ATFC-II/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/GAPB/PTAC16/NA/LHCA2*1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/SOQ1/AtHBP5/PnsL2/NYE2/TATA/NA/ATBCA1/NA/NA/DEG13/PSB29/APG2/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/CRP1/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/HCF136/NA/HCF153/CHL/DEG11/BICAT1/NA/NDH-M/ATPI/AOS/CLPP1/NA/ATNCED3/NA/NDF4/AOC2/FIB/CID1/AthCF1beta/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	221
GO:0009535	chloroplast thylakoid membrane	206/6801	363/26902	0.5674931129476584	2.2447727870192478	13.88874129678766	1.3340448388568358e-37	8.964781317117937e-36	8.060439342145513e-36	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/NA/DJA5/NA/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/GAPB/PTAC16/NA/LHCA2*1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/AtHBP5/PnsL2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/HCF136/NA/CHL/DEG11/BICAT1/NA/NDH-M/ATPI/AOS/CLPP1/ATNCED3/NA/NDF4/AOC2/FIB/AthCF1beta/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	206
GO:0055035	plastid thylakoid membrane	209/6801	371/26902	0.5633423180592992	2.2283539244862913	13.857836421028889	1.7401660523356036e-37	9.74492989307938e-36	8.761888719654706e-36	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/DRT112/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/NA/DJA5/NA/ATFC-II/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/GAPB/PTAC16/NA/LHCA2*1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/AtHBP5/PnsL2/NYE2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NA/POR/TL17/HCF136/NA/CHL/DEG11/BICAT1/NA/NDH-M/ATPI/AOS/CLPP1/ATNCED3/NA/NDF4/AOC2/FIB/AthCF1beta/NDF6/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATFTSH6/ATFER1/NA/PSBB/ELIP/ATPH/PSBK/PETA/PSBT	209
GO:0019867	outer membrane	230/6801	495/26902	0.46464646464646464	1.8379531233523294	10.945221596290525	7.258412104134437e-25	3.048533083736464e-23	2.741005623534978e-23	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/HP20/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/AFT/NA/DJA5/NA/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/ATTS02/GAPB/PTAC16/NA/LHCA2*1/AZI1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/AtHBP5/PnsL2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/NA/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/ARC5/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/AtCHUP1/TOM7-2/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NADKc/NA/POR/NA/TL17/ATTOC34/ATOEP16-1/HCF136/PDV1/NA/CHL/DEG11/BICAT1/NA/DAA1/NA/NDH-M/ATPI/AOS/CLPP1/ATNCED3/NA/NDF4/AOC2/FIB/AthCF1beta/At-NEET/NDF6/TRB2/OEP9.1/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATMGD3/EARLI1/ATVDAC5/ATFTSH6/ATFER1/NA/AtBCS1/PSBB/ATTOC75-IV/ELIP/ATPH/PSBK/PETA/PSBT/NA	230
GO:0031968	organelle outer membrane	230/6801	495/26902	0.46464646464646464	1.8379531233523294	10.945221596290525	7.258412104134437e-25	3.048533083736464e-23	2.741005623534978e-23	LHCB2/CAB4/LHCB4.2/CURT1B/LHCB2/OE23/PSAL/LHCA3/NA/LHCA1/PSAH-2/GAPA/ACSF/LHCB3/CP24/ANTR1/LHCB5/PSAH-1/PSBW/PSAN/OHP/LHB1B2/ATG4/MSP-1/PGRL1A/RIQ1/PSBQ/CHLM/MET1/CaS/NA/CP22/ATKEA3/PSAK/RCA/OEC33/PRK/PSAF/EMB3119/PDE334/AB140/LHCA2/PSB27/NA/PSAE-1/NA/NDF2/ATRAB8D/PSAD-2/PSBQ/FBN6/NDF1/TROL/CAO/NA/RBCS1A/FTSH1/PETC/PSBY/NA/FTSH5/ATPC1/ALB3/RIQ2/PSB28/PSBR/ATGPX1/ATHM4/ATPD/Lhca5/MPH1/LQY1/CCL/NA/PSAD-1/SEP1/PSAG/AtTLP18.3/APE1/IM30/cL37/CRR3/PSBX/MPH2/LHCB4.1/NA/ftsh9/ATCYP38/HP20/NA/BETA/NA/PPL1/LIL8/PPD6/DEG1/FKBP16-2/ACR11/LIL3:1/NA/AFT/NA/DJA5/NA/CURT1C/FBN4/FTSH2/TAPX/ATRBP31/AB165/ATLFNR1/PSAE-2/AtPGR5/LIL3:2/ATTS02/GAPB/PTAC16/NA/LHCA2*1/AZI1/PPD1/APX4/CYP20-3/PGRL1B/CP29B/AtHBP5/PnsL2/TATA/NA/ATBCA1/NA/DEG13/PSB29/APG2/NA/ELIP2/bS6c/NA/OHP2/EMB2784/NA/NA/bL12cz/ARC5/NdhN/CYP37/CRRL/NA/ATGSL1/ATTERC/bL12cx/FIP/CRRJ/AB180/PORB/NA/STIC2/YCF37/cS23z/AtPNP-R1/NDH18/PnsL1/AtCHUP1/TOM7-2/ATPRX/AtTic62/AtOCT4/MFP1/CRR23/SEP2/NA/NA/FBN10/PHGAP2/CRR31/DEG2/CDS5/NA/NADKc/NA/POR/NA/TL17/ATTOC34/ATOEP16-1/HCF136/PDV1/NA/CHL/DEG11/BICAT1/NA/DAA1/NA/NDH-M/ATPI/AOS/CLPP1/ATNCED3/NA/NDF4/AOC2/FIB/AthCF1beta/At-NEET/NDF6/TRB2/OEP9.1/FTSZ2-2/PnsL3/PPD7/ATPE/NA/PSBP-2/PSAJ/ATMGD3/EARLI1/ATVDAC5/ATFTSH6/ATFER1/NA/AtBCS1/PSBB/ATTOC75-IV/ELIP/ATPH/PSBK/PETA/PSBT/NA	230
GO:0031977	thylakoid lumen	50/6801	71/26902	0.704225352112676	2.7856301165321584	8.763226053266111	1.7415566161450112e-15	6.501811366941375e-14	5.845926886942903e-14	AtFBA1/OE23/PSAN/MSP-1/PSBQ/NA/OEC33/DRT112/PSB27/PSBQ/NA/RBCS1A/FTSH1/NA/AtTLP18.3/MPH2/ATCYP38/PPL1/PPD6/DEG1/FKBP16-2/NA/FBN4/NA/FTSH2/ATLFNR1/ATFKBP13/PPD1/NA/APX4/CYP20-3/PnsL2/NA/CYP37/YCF37/PnsL1/NA/TL17/DEG8/HCF136/CHL/PETE1/AtFKBP16-1/FIB/AthCF1beta/FKBP17-1/PnsL3/PPD7/PSBP-2/PQL3	50
GO:0009543	chloroplast thylakoid lumen	39/6801	52/26902	0.75	2.966696074106749	8.257119036457865	7.729706952694288e-14	2.5971815361052807e-12	2.3351851530771166e-12	OE23/PSAN/MSP-1/PSBQ/NA/OEC33/DRT112/PSB27/PSBQ/NA/NA/AtTLP18.3/MPH2/ATCYP38/PPL1/PPD6/DEG1/FKBP16-2/NA/NA/ATFKBP13/PPD1/NA/APX4/PnsL2/NA/CYP37/YCF37/PnsL1/NA/TL17/DEG8/HCF136/PETE1/FKBP17-1/PnsL3/PPD7/PSBP-2/PQL3	39
