ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046527	glucosyltransferase activity	107/6743	227/26722	0.4713656387665198	1.8679864450717698	7.629744057680332	7.037920571742265e-13	5.426236760813286e-10	4.830236013448375e-10	ATSPS4F/ATCSLG2/GGP/GBSS1/UGT1/UGT76E12/UGT88A1/AtUGT85A3/UGT89C1/UGT73B3/XTH23/AtUGT85A5/DOGT1/NA/UGT73C1/UGT78D1/ATXTH18/ATCSLB04/ATSS3/NA/CESA5/ATTPS1/AtXTH32/AtSS2/IAGLU/MERI-5/ATCSLE1/ATSAGT1/ATCSLC05/ATXTH19/UGT74E2/NA/UGT76C2/ATCSLD2/NA/NA/ATSUS3/ATUGT85A1/ATSPS2F/ATGSL06/XTH30/UGT89B1/ASUS1/UGT73B1/ATCSLD5/NA/NA/UGT84A3/ATCSLA15/UGT73C7/UGT91C1/NA/ATCSLC08/ATGSL11/UGT76E11/UGT78D2/UGT73C6/AtUGT85A4/XTH6/UGT73C2/UGT84A1/XTH29/XTH11/BRT1/ATGSL04/UGT79B7/NA/ATCSLG3/NA/UGT73B5/UGT73B2/XTH25/NA/UGT84A4/NA/ATSUS5/ATCSLA10/AtXTH31/XTH8/AtXTH22/ATCSLA03/ATCSLD1/UGT79B3/EXGT-A4/UGT76E2/UGT72B3/NA/XTH10/ATSUS4/ATXTH14/ATSUS2/ATSUS6/UGT76D1/ATCSLG1/NA/UGT72E2/ATXTH17/ATCSLB06/ATCSLC12/UF3GT/NA/AtUGT85A7/UGT73B4/NA/UGT76F1/NA/XTH15	107
GO:0035251	UDP-glucosyltransferase activity	76/6743	160/26722	0.475	1.88238914429779	6.503629937917136	9.138997186632768e-10	3.523083415446932e-7	3.1361190345708236e-7	ATSPS4F/GGP/GBSS1/UGT1/UGT76E12/UGT88A1/AtUGT85A3/UGT89C1/UGT73B3/AtUGT85A5/DOGT1/NA/UGT73C1/UGT78D1/ATSS3/NA/ATTPS1/AtSS2/IAGLU/ATSAGT1/UGT74E2/NA/UGT76C2/ATCSLD2/NA/NA/ATSUS3/ATUGT85A1/ATSPS2F/ATGSL06/UGT89B1/ASUS1/UGT73B1/ATCSLD5/NA/NA/UGT84A3/UGT73C7/UGT91C1/NA/ATGSL11/UGT76E11/UGT78D2/UGT73C6/AtUGT85A4/UGT73C2/UGT84A1/BRT1/ATGSL04/UGT79B7/NA/NA/UGT73B5/UGT73B2/NA/UGT84A4/NA/ATSUS5/ATCSLD1/UGT79B3/UGT76E2/UGT72B3/NA/ATSUS4/ATSUS2/ATSUS6/UGT76D1/NA/UGT72E2/UF3GT/NA/AtUGT85A7/UGT73B4/NA/UGT76F1/NA	76
GO:0016758	hexosyltransferase activity	152/6743	392/26722	0.3877551020408163	1.5366441994267674	6.218277559126246	1.914235958313545e-9	4.91958641286581e-7	4.3792345432295845e-7	ATSPS4F/ATCSLG2/GGP/AtSIP2/GBSS1/UGT1/ATPHS2/UGT76E12/UGT88A1/AtUGT85A3/UGT89C1/UGT73B3/XTH23/AtUGT85A5/DOGT1/NA/UGT73C1/AtDPE1/UGT78D1/ATXTH18/GUX3/ATCSLB04/ATTS02/RS5/ATSS3/NA/CESA5/ATTPS1/ATCSLA09/AtXTH32/AtSS2/IAGLU/MERI-5/AtGolS1/ATCSLE1/GALT4/ATSAGT1/ATCSLC05/ATXTH19/UGT74E2/NA/DIN10/UGT76C2/ATGT18/ATCSLD2/NA/NA/ATSUS3/BE3/DPE2/ATUGT85A1/ATSPS2F/ATGSL06/XTH30/UGT89B1/ASUS1/TUN/UGT73B1/ATCSLD5/NA/FRA8/NA/NA/UGT84A3/ATCSLA15/BE1/UGT73C7/UGT91C1/NA/ATCSLC08/PHS1/ATGSL11/UGT76E11/GALT5/UGT78D2/AtMSR1/UGT73C6/AtUGT85A4/XTH6/XXT4/UGT73C2/UGT84A1/XTH29/SETH2/XTH11/BRT1/ATGSL04/ATGATL1/UGT79B7/ATFT4/ATCSLA07/NA/GATL3/GATL10/NA/ATCSLG3/NA/UGT73B5/ATCSLA02/AtIPCS3/UGT73B2/XTH25/NA/UGT84A4/GATL7/NA/NA/ATSUS5/MAGT1/ATCSLA10/AtXTH31/XTH8/AtXTH22/ATMGD3/KNS4/ATCSLA03/ATCSLD1/NA/UGT79B3/EXGT-A4/UGT76E2/ATXT1/AtGolS2/UGT72B3/NA/XTH10/ATSUS4/ATXTH14/ATSUS2/NA/ATSUS6/UGT76D1/ATCSLG1/NA/NA/GT6/UGT72E2/NA/ATXTH17/ATCSLB06/ATCSLC12/NA/UF3GT/XXT3/AtGolS3/NA/AtUGT85A7/UGT73B4/NA/UGT76F1/NA/XTH15	152
GO:0016168	chlorophyll binding	22/6743	28/26722	0.7857142857142857	3.113726404101608	6.501102599157242	4.920115181594479e-9	9.483522012523359e-7	8.441881837893685e-7	LHCB2/CAB4/LHCB4.2/LHCB2/LHCA3/LHCA1/CP24/LHCB5/LHB1B2/CP22/AB140/LHCA2/SEP1/LHCB4.1/AB165/DEG13/AB180/SEP2/DEG11/AtLHCB7/PSBB/PSBT	22
GO:0046906	tetrapyrrole binding	69/6743	149/26722	0.46308724832214765	1.835179808640728	5.939076052019575	1.9541145188331988e-8	3.0132445880407924e-6	2.6822792974299907e-6	LHCB2/CAB4/LHCB4.2/LHCB2/LHCA3/LHCA1/CP24/LHCB5/LHB1B2/CAT2/CYP76C2/CP22/AB140/LHCA2/GUN4/SEP1/ATTSPO/LHCB4.1/ATCAT3/CYP707A4/AB165/AtHBP5/CAT1/DEG13/ATHO1/CYP76C1/CYP96A12/CYP76C6/AtPP5/AB180/CYP704A2/SEP2/ATT1/CYP706A4/CYP86A8/AtCCME/DEG11/ATCB5-B/HO3/NA/CYP96A4/NA/NA/AtLHCB7/CYP86A7/ULI3/CYP96A15/CYP78A9/CYP706A6/ATCB5-C/CYP94B3/CYP706A5/CYP706A2/HO4/CYP706A3/CYP78A8/CYP86A4/CYP78A5/CYP78A6/CYP96A11/PSBB/CYP704B1/CYP96A9/CYP72A10/CYP94C1/CYP86C2/CYP76G1/PETA/PSBT	69
GO:0080043	quercetin 3-O-glucosyltransferase activity	40/6743	73/26722	0.547945205479452	2.1714654872937738	5.822594286299557	6.706797249007478e-8	8.61823446497461e-6	7.671634747987502e-6	UGT1/UGT76E12/UGT88A1/AtUGT85A3/UGT73B3/AtUGT85A5/UGT78D1/IAGLU/ATSAGT1/UGT74E2/NA/UGT76C2/ATUGT85A1/UGT89B1/UGT73B1/NA/NA/UGT84A3/NA/UGT76E11/UGT78D2/UGT73C6/AtUGT85A4/UGT84A1/BRT1/NA/UGT73B5/UGT73B2/NA/UGT84A4/NA/UGT76E2/UGT72B3/NA/UGT76D1/NA/AtUGT85A7/UGT73B4/NA/UGT76F1	40
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	33/6743	56/26722	0.5892857142857143	2.335294803076206	5.811099273950924	9.045458618488361e-8	9.962926564077893e-6	8.868630104141971e-6	GAPA-2/GAPA/AtDAO/ALDH11A3/AAO4/ATCCR1/AtHEMA1/ALDH7B4/ALDH5F1/ALDH10A8/GAPB/ALDH3/FAR1/ALDH2/AAO1/ALDH10A9/GAPC-2/E1-OGDH2/ALDH12A1/PDH-E1/PDH-E1/ALDH6B2/ALDH1A/ALDH2B/AtFDH1/ATP5CS/AAO2/GLOX1/CER4/AtDAO2/FAR2/HEMA3/FAR5	33
GO:0080044	quercetin 7-O-glucosyltransferase activity	35/6743	62/26722	0.5645161290322581	2.237134806465965	5.665638465420436	1.6374390313127222e-7	1.578081866427636e-5	1.4047503268630194e-5	UGT1/UGT76E12/UGT88A1/AtUGT85A3/UGT73B3/AtUGT85A5/DOGT1/IAGLU/ATSAGT1/UGT74E2/UGT76C2/ATUGT85A1/UGT89B1/UGT73B1/NA/UGT84A3/NA/UGT76E11/UGT73C6/AtUGT85A4/UGT84A1/BRT1/NA/UGT73B5/UGT73B2/UGT84A4/NA/UGT76E2/NA/UGT76D1/NA/AtUGT85A7/UGT73B4/NA/UGT76F1	35
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	129/6743	342/26722	0.37719298245614036	1.4947873168015695	5.350079997451357	1.9542253202001577e-7	1.6741196909714684e-5	1.4902396593807051e-5	ABA1/ACSF/CYP81D11/CYP76C2/AtDAO/ATFLS1/JMJ30/ADS2/AtFAD8/CYP707A4/AtDMR6/F3'H/ADS3/GSL-OH/FAD6/NA/CYP710A1/AtFAD7/LBO1/ADS4.2/LUT2/AAD4/ALKBH10B/ATHO1/SQE6/CYP76C1/AtSSI2/CYP71B36/CYP96A12/CYP76C6/CYP81F1/CYP704A2/NA/ATKAO2/ATSMO1/CYP71B35/ATT1/CYP706A4/CYP86A8/NA/NA/NA/CYP89A9/NA/ACO4/CYP81D8/HO3/ATGA3OX1/CYP97C1/FAD4/ATGA2OX2/CYP96A4/NA/ADS1/JAO2/AtFAD3/NA/CYP71B26/CYP89A6/CYP81F3/JAO4/CYP86A7/CYP705A19/FMO/CYP81G1/AAD1/NA/CYP96A15/CYP78A9/ATJRG21/FMO/CYP706A6/CYP90D1/NA/FMO/ATGA2OX4/ADS1.3/CYP77A4/CYP77A6/CYP94B3/CYP707A3/CYP77B1/CYP705A20/CYP706A5/CYP706A2/CP3/AAD6/AOP/ATGA2OX1/HO4/CYP705A22/CYP706A3/ATSMO1-2/AT2301/ATFLS5/CYP78A8/CYP86A4/CYP78A5/FMO1/CYP78A6/AAD3/CYP76C3/NA/CYP96A11/AAD2/NA/GA2ox9/CYP77A7/CYP81D2/AOP3/CYP704B1/ATGA20OX3/AtDAO2/CYP81D3/NA/NA/CYP96A9/CYP72A10/CYP94C1/CYP83A1/ACO1/CKRC2/ACO5/CYP86C2/CYP71B10/CYP76G1/CYP705A13/ATFLS3/DIN11	129
GO:0008194	UDP-glycosyltransferase activity	100/6743	258/26722	0.3875968992248062	1.536017253608968	5.026051544581044	1.0603430202299862e-6	8.175244685973193e-5	7.277301570420538e-5	ATSPS4F/GGP/GBSS1/UGT1/UGT76E12/UGT88A1/AtUGT85A3/UGT89C1/UGT73B3/AtUGT85A5/DOGT1/NA/UGT73C1/UGT78D1/GUX3/ATTS02/ATSS3/NA/ATTPS1/AtSS2/IAGLU/AtGolS1/ATSAGT1/NA/UGT74E2/NA/UGT76C2/ATCSLD2/NA/NA/ATSUS3/ATUGT85A1/ATSPS2F/ATGSL06/UGT89B1/ASUS1/UGT73B1/ATCSLD5/NA/FRA8/MUCI21/XGD1/NA/NA/UGT84A3/UGT73C7/UGT91C1/NA/NA/ATGSL11/UGT76E11/RRT1/UGT78D2/UGT73C6/AtUGT85A4/XXT4/UGT73C2/UGT84A1/SETH2/RGXT3/BRT1/ATGSL04/ATGATL1/UGT79B7/NA/GATL3/GATL10/NA/NA/UGT73B5/UGT73B2/NA/UGT84A4/GATL7/NA/ATSUS5/ATMGD3/ATCSLD1/NA/UGT79B3/UGT76E2/ATXT1/AtGolS2/UGT72B3/NA/ATSUS4/ATSUS2/ATSUS6/UGT76D1/NA/NA/UGT72E2/UF3GT/AtGolS3/NA/AtUGT85A7/UGT73B4/NA/UGT76F1/NA	100
