ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0036294	cellular response to decreased oxygen levels	231	0.8206683165882004	2.8707531324490208	1.5120284670415734e-40	1.0863604484480527e-37	8.501661991275026e-38	1632	tags=53%, list=8%, signal=49%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G36220/AT1G72430/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790
GO:0071453	cellular response to oxygen levels	231	0.8206683165882004	2.8707531324490208	1.5120284670415734e-40	1.0863604484480527e-37	8.501661991275026e-38	1632	tags=53%, list=8%, signal=49%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G36220/AT1G72430/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790
GO:0036293	response to decreased oxygen levels	260	0.8053771273008029	2.84257582057085	2.107391752566543e-40	1.0863604484480527e-37	8.501661991275026e-38	1663	tags=49%, list=8%, signal=45%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT3G52430/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G28910/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G31810/AT2G36220/AT1G72430/AT3G01090/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790/AT4G19230
GO:0070482	response to oxygen levels	261	0.8040453900507482	2.838704633471639	1.7115326017952943e-40	1.0863604484480527e-37	8.501661991275026e-38	1663	tags=49%, list=8%, signal=45%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT3G52430/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G28910/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G31810/AT2G36220/AT1G72430/AT3G01090/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790/AT4G19230
GO:0001666	response to hypoxia	256	0.808327782847624	2.8471455606934115	6.887369539037718e-40	2.8403511978991547e-37	2.2228078954410148e-37	1663	tags=50%, list=8%, signal=46%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT3G52430/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G28910/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G31810/AT2G36220/AT1G72430/AT3G01090/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790/AT4G19230
GO:0071456	cellular response to hypoxia	229	0.8212122039605847	2.8727768606094726	1.2888586539563857e-39	4.429377574096779e-37	3.4663514324827004e-37	1632	tags=53%, list=8%, signal=50%	AT4G27280/AT2G15890/AT5G57560/AT1G76600/AT5G45340/AT1G35140/AT2G41430/AT3G10020/AT2G32210/AT4G29780/AT5G65207/AT3G56880/AT3G04640/AT1G18300/AT1G13260/AT4G32480/AT3G49780/AT3G55980/AT1G07135/AT2G32200/AT5G59820/AT1G25550/AT5G27420/AT1G25560/AT2G40140/AT4G30440/AT5G24590/AT4G24570/AT1G27730/AT1G15010/AT3G23170/AT5G62520/AT1G66090/AT4G13395/AT1G73500/AT2G18670/AT5G42200/AT1G72900/AT4G27450/AT3G46080/AT4G33070/AT1G30040/AT5G06320/AT1G74940/AT1G72940/AT5G19120/AT3G52800/AT4G34150/AT1G07870/AT3G07350/AT2G01180/AT1G50740/AT1G10140/AT1G09070/AT3G56400/AT1G03610/AT5G20250/AT5G47910/AT1G53620/AT1G78850/AT2G40000/AT1G33055/AT5G42380/AT5G20150/AT1G23710/AT5G58120/AT1G76680/AT5G25250/AT2G26560/AT5G13190/AT1G66180/AT5G26920/AT4G30280/AT2G46400/AT4G17230/AT5G54490/AT1G68840/AT5G04340/AT1G32928/AT4G24230/AT1G76650/AT5G64260/AT4G01250/AT3G43190/AT4G19520/AT1G69890/AT5G63790/AT4G22780/AT1G72920/AT1G05880/AT2G26190/AT4G20860/AT3G02040/AT2G25735/AT4G38470/AT5G42050/AT1G63090/AT1G57630/AT3G05120/AT4G01360/AT5G41080/AT5G35735/AT3G23150/AT1G19530/AT2G41100/AT2G22500/AT5G54940/AT1G14540/AT1G72910/AT4G27470/AT4G24160/AT1G19020/AT2G36220/AT1G72430/AT3G30775/AT1G61340/AT1G68670/AT4G12720/AT3G46090/AT1G66880/AT1G30720/AT2G13790
GO:0022613	ribonucleoprotein complex biogenesis	383	-0.5384452177043928	-2.2897664337503274	1.4518330181780007e-20	4.276685262118625e-18	3.3468571682208645e-18	5549	tags=49%, list=27%, signal=37%	AT1G04080/AT1G71430/AT5G27720/AT1G76300/AT3G09720/AT2G31150/AT5G26742/AT2G47990/AT4G11420/AT5G15750/AT2G40010/AT3G52905/AT5G13650/AT2G18740/AT3G03340/AT2G37990/AT4G21770/AT3G57000/AT3G63140/AT1G26550/AT3G52580/AT1G59760/AT2G37220/AT1G67620/AT5G05210/AT1G70200/AT1G07840/AT1G74270/AT4G15770/AT3G55170/AT2G09990/AT3G12930/AT5G25080/AT5G17020/AT4G03120/AT1G72320/AT3G44850/AT1G54380/AT4G32175/AT4G02400/AT2G18220/AT2G48120/AT1G15440/AT2G47640/AT1G72370/AT1G69070/AT5G02610/AT3G10090/AT4G14510/AT5G62290/AT1G60770/AT1G48920/AT1G67460/AT3G55620/AT1G01080/AT2G30260/AT4G36690/AT3G07590/AT2G14285/AT3G22660/AT3G18790/AT1G63810/AT1G10490/AT2G43810/AT1G60080/AT1G12800/AT5G18570/AT3G09500/AT1G63780/AT1G67440/AT4G31520/AT5G38720/AT3G01160/AT2G25870/AT1G20960/AT5G62440/AT1G54385/AT2G21070/AT1G31660/AT5G06360/AT1G52980/AT5G57280/AT2G01640/AT1G09340/AT1G12244/AT5G15200/AT2G39820/AT3G12270/AT5G67510/AT5G17930/AT1G25260/AT5G51140/AT4G22285/AT1G55800/AT5G20160/AT2G37340/AT1G23280/AT4G02720/AT2G33800/AT3G28460/AT1G66510/AT3G49990/AT2G03820/AT5G61770/AT2G45710/AT5G67240/AT4G28200/AT5G50250/AT3G02560/AT4G01560/AT4G24770/AT3G52380/AT5G41190/AT3G61110/AT5G19820/AT3G50100/AT5G14520/AT1G03360/AT1G52930/AT2G19870/AT4G34730/AT5G28740/AT3G02080/AT1G26880/AT1G15470/AT3G22980/AT5G55920/AT3G55340/AT4G25630/AT1G18080/AT3G57940/AT3G52150/AT3G04770/AT1G69620/AT1G50920/AT5G11900/AT1G80750/AT1G13160/AT3G62870/AT2G36160/AT2G24500/AT1G41880/AT3G13580/AT3G55750/AT3G53460/AT2G17250/AT5G39740/AT5G47930/AT4G32720/AT3G11250/AT5G16130/AT1G36730/AT1G43860/AT3G53890/AT5G18380/AT1G20580/AT2G01250/AT2G43460/AT5G27700/AT3G28900/AT3G11510/AT2G20450/AT5G10910/AT3G24506/AT1G29320/AT5G20290/AT1G77840/AT5G54910/AT3G55510/AT3G25520/AT4G27090/AT5G15520/AT2G47610/AT5G08180/AT3G49910/AT5G20920/AT3G24080/AT1G16280/AT2G32060/AT1G04170/AT2G39390/AT5G65900/AT2G40430/AT5G61170/AT2G17240/AT3G23620/AT1G48630/AT1G60000/AT5G64140
GO:0042254	ribosome biogenesis	312	-0.5638613285457644	-2.3805770699442927	1.7215238086127446e-20	4.437227616699349e-18	3.472494735004392e-18	5128	tags=48%, list=25%, signal=36%	AT2G37990/AT4G21770/AT3G57000/AT3G63140/AT1G26550/AT3G52580/AT1G59760/AT2G37220/AT1G67620/AT5G05210/AT1G70200/AT1G07840/AT1G74270/AT4G15770/AT3G55170/AT2G09990/AT3G12930/AT5G25080/AT5G17020/AT1G72320/AT4G32175/AT4G02400/AT2G18220/AT2G48120/AT1G15440/AT1G72370/AT1G69070/AT5G02610/AT3G10090/AT4G14510/AT1G60770/AT1G48920/AT1G67460/AT3G55620/AT1G01080/AT3G22660/AT1G63810/AT1G10490/AT2G43810/AT1G60080/AT1G12800/AT5G18570/AT3G09500/AT1G63780/AT1G67440/AT4G31520/AT5G38720/AT3G01160/AT2G25870/AT5G62440/AT2G21070/AT1G31660/AT5G06360/AT1G52980/AT5G57280/AT2G01640/AT1G09340/AT1G12244/AT5G15200/AT2G39820/AT3G12270/AT5G67510/AT5G17930/AT1G25260/AT5G51140/AT1G55800/AT5G20160/AT1G23280/AT4G02720/AT2G33800/AT3G28460/AT3G49990/AT2G03820/AT5G61770/AT2G45710/AT5G67240/AT4G28200/AT5G50250/AT3G02560/AT4G01560/AT4G24770/AT3G52380/AT5G41190/AT3G61110/AT5G19820/AT3G50100/AT5G14520/AT1G03360/AT1G52930/AT2G19870/AT4G34730/AT3G02080/AT1G26880/AT3G22980/AT5G55920/AT4G25630/AT1G18080/AT3G57940/AT3G52150/AT3G04770/AT1G69620/AT1G50920/AT1G80750/AT1G13160/AT3G62870/AT2G36160/AT2G24500/AT1G41880/AT3G13580/AT3G55750/AT3G53460/AT2G17250/AT5G39740/AT5G47930/AT4G32720/AT3G11250/AT5G16130/AT1G43860/AT3G53890/AT5G18380/AT2G01250/AT5G27700/AT3G28900/AT3G11510/AT2G20450/AT5G10910/AT3G24506/AT1G29320/AT5G20290/AT5G54910/AT3G55510/AT3G25520/AT4G27090/AT5G15520/AT2G47610/AT5G08180/AT3G49910/AT3G24080/AT1G16280/AT2G32060/AT2G39390/AT5G65900/AT2G40430/AT5G61170/AT2G17240/AT3G23620/AT1G48630/AT1G60000/AT5G64140
GO:0065003	protein-containing complex assembly	445	-0.4658349311839123	-2.013667639016905	1.0269126331784614e-14	2.3527709440155418e-12	1.841236335277873e-12	4305	tags=35%, list=21%, signal=28%	AT5G35100/AT1G52400/AT5G56600/AT1G15440/AT2G47640/AT1G72370/AT1G23790/AT3G56650/AT3G10090/AT5G62290/AT1G60770/AT1G16700/AT1G48920/AT1G67460/AT3G55620/AT5G58220/AT5G14710/AT2G30260/AT4G36690/AT5G20720/AT5G04050/AT3G07590/AT2G14285/AT4G35250/AT4G38630/AT1G71500/AT3G18790/AT3G15120/AT5G35220/AT2G38720/AT4G18810/AT3G55330/AT3G53760/AT5G39210/AT5G11450/AT1G67440/AT4G10340/AT3G56010/AT1G75820/AT5G38720/AT1G21460/AT5G06680/AT1G20960/AT2G28150/AT4G37200/AT1G19580/AT1G54385/AT3G48740/AT2G39120/AT1G20770/AT1G54050/AT1G09180/AT5G67580/AT1G20260/AT3G18940/AT2G31270/AT5G23120/AT1G12270/AT2G39820/AT3G50820/AT2G02560/AT2G34860/AT3G04260/AT1G34000/AT5G13120/AT1G54500/AT3G05520/AT3G54710/AT1G64750/AT4G22285/AT5G62850/AT3G44370/AT1G72420/AT1G64660/AT2G20890/AT1G15660/AT2G37340/AT4G06599/AT5G56950/AT1G66510/AT3G22880/AT5G64630/AT2G45710/AT1G55480/AT1G07820/AT1G77090/AT3G61110/AT4G15510/AT5G40260/AT1G52930/AT1G79040/AT5G28740/AT3G02080/AT2G19480/AT5G51110/AT1G15470/AT1G62740/AT1G05385/AT4G05520/AT1G05910/AT3G55340/AT3G04770/AT4G10250/AT1G06680/AT2G46830/AT5G11900/AT1G56330/AT3G47650/AT2G36160/AT1G59860/AT2G15820/AT2G31040/AT1G51100/AT5G12030/AT4G35760/AT5G39740/AT5G47930/AT1G36730/AT1G20580/AT2G43460/AT5G42270/AT3G63540/AT2G19310/AT1G76060/AT5G66570/AT2G32760/AT1G07400/AT3G17930/AT3G56910/AT3G11510/AT5G23730/AT1G77840/AT3G25520/AT5G44650/AT3G26710/AT1G02090/AT5G15520/AT2G34050/AT1G76450/AT5G20920/AT5G05620/AT2G42540/AT4G12400/AT3G04550/AT1G04170/AT5G36120/AT3G23990/AT2G40430/AT5G61170/AT5G51600/AT5G02120/AT5G52780/AT5G56030/AT5G56010/AT5G64140
GO:0009620	response to fungus	356	0.6014958278491418	2.191907089954178	7.524178965075712e-14	1.5514857025986117e-11	1.214164879311691e-11	2208	tags=28%, list=11%, signal=26%	AT1G22190/AT2G15890/AT1G76600/AT5G45110/AT4G34410/AT5G61600/AT5G67300/AT2G40140/AT4G30440/AT1G15010/AT5G17350/AT1G73500/AT1G80840/AT1G03850/AT3G56400/AT4G31800/AT4G34390/AT4G15760/AT5G04720/AT5G47910/AT3G51550/AT2G38470/AT4G02330/AT4G33300/AT4G37240/AT1G11310/AT3G10985/AT1G24140/AT5G64810/AT5G26920/AT2G30020/AT1G07000/AT1G63880/AT3G11820/AT4G24230/AT5G58430/AT3G50470/AT3G52400/AT2G34930/AT5G39580/AT2G30230/AT4G20830/AT1G28380/AT1G32960/AT3G24550/AT3G25780/AT1G69840/AT1G17420/AT3G06380/AT1G70260/AT5G08790/AT3G01290/AT2G31865/AT3G48990/AT5G25910/AT5G36925/AT4G10500/AT3G50480/AT1G59870/AT1G66480/AT4G33430/AT5G66910/AT4G16760/AT3G51440/AT3G12500/AT1G56540/AT1G37130/AT1G75380/AT3G22600/AT5G05190/AT3G01310/AT1G74710/AT1G70170/AT4G22330/AT2G25110/AT2G22300/AT2G28290/AT3G60190/AT4G19230/AT5G66900/AT1G10920/AT3G05710/AT3G25020/AT1G13960/AT5G24090/AT3G13790/AT5G66890/AT2G01650/AT4G34460/AT1G61850/AT5G18610/AT4G19660/AT2G43790/AT4G26120/AT3G45140/AT2G19810/AT1G45145/AT5G64250/AT5G10380/AT4G01090/AT5G38280
