ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0015979	photosynthesis	215	-0.8739610241983862	-2.3073739155750204	1.4784856608830023e-31	3.0486374327407506e-28	2.725082518111723e-28	1487	tags=51%, list=7%, signal=48%	AT4G04040/AT1G64150/AT1G43670/AT2G04700/AT2G34430/AT1G67840/AT2G45770/AT5G23120/AT5G39830/AT3G12780/AT2G47940/AT4G23890/AT1G02910/AT5G44650/AT2G21970/AT1G70760/AT5G28450/AT5G11450/AT2G39470/AT4G31390/AT1G11750/AT1G29910/AT5G49740/AT1G77090/AT3G56010/AT5G52100/AT5G52520/AT1G34000/AT2G20890/AT3G27690/AT3G01500/AT1G14150/AT5G57030/AT1G20950/AT5G38410/AT4G15510/AT1G19150/AT1G42970/AT3G11670/AT4G30950/AT2G05620/AT5G66190/AT1G29920/AT3G15850/AT2G30950/AT1G76450/AT3G62410/AT5G08720/AT3G27925/AT3G56650/AT1G71500/AT3G55330/AT4G33470/AT3G01480/AT1G68830/AT1G60950/AT3G55800/AT5G01530/AT4G02530/AT2G01590/AT1G54780/AT1G55670/AT1G75690/AT1G45474/AT4G09650/AT5G24120/AT1G79040/AT4G04640/AT5G42270/AT1G67740/AT4G03280/AT1G50250/AT1G67090/AT1G01790/AT4G01050/AT1G15980/AT4G21280/AT1G64770/AT1G03600/AT3G61470/AT1G29930/AT3G04790/AT3G50820/AT4G04850/AT4G35250/AT1G64860/AT1G55480/AT1G08380/AT3G54050/AT4G05180/AT4G22890/AT5G66570/AT2G34420/AT5G02120/AT5G64040/AT1G16720/AT2G30570/AT4G10340/AT1G15820/AT5G54270/AT3G26650/AT3G54890/AT1G61520/AT1G06680/AT2G05070/AT2G46820/AT3G08940/AT3G47470/AT2G05100
GO:0019684	photosynthesis, light reaction	157	-0.8876857131356282	-2.2861931432258324	1.1273647248215565e-25	1.1623130312910248e-22	1.0389555964013397e-22	1316	tags=56%, list=6%, signal=53%	AT2G45770/AT5G23120/AT5G39830/AT2G47940/AT4G23890/AT1G02910/AT5G44650/AT2G21970/AT1G70760/AT5G28450/AT5G11450/AT2G39470/AT4G31390/AT1G29910/AT5G49740/AT1G77090/AT3G56010/AT5G52100/AT1G34000/AT2G20890/AT3G27690/AT1G14150/AT5G57030/AT4G15510/AT1G19150/AT3G11670/AT4G30950/AT2G05620/AT5G66190/AT1G29920/AT3G15850/AT2G30950/AT1G76450/AT5G08720/AT3G27925/AT3G56650/AT1G71500/AT3G55330/AT4G33470/AT3G01480/AT1G68830/AT1G60950/AT5G01530/AT4G02530/AT2G01590/AT1G54780/AT1G55670/AT1G75690/AT1G45474/AT4G09650/AT5G24120/AT1G79040/AT4G04640/AT5G42270/AT1G67740/AT4G03280/AT1G50250/AT4G01050/AT1G15980/AT4G21280/AT1G64770/AT1G03600/AT3G61470/AT1G29930/AT3G50820/AT4G35250/AT1G55480/AT1G08380/AT3G54050/AT4G05180/AT4G22890/AT5G66570/AT2G34420/AT5G02120/AT5G64040/AT1G16720/AT2G30570/AT4G10340/AT1G15820/AT5G54270/AT3G54890/AT1G61520/AT1G06680/AT2G05070/AT2G46820/AT3G08940/AT3G47470/AT2G05100
GO:0006091	generation of precursor metabolites and energy	390	-0.7050581569009625	-1.95670612330016	8.015833875224868e-16	5.509549816904559e-13	4.924815830006576e-13	1430	tags=29%, list=7%, signal=27%	AT3G14940/AT5G40810/AT2G34430/AT4G24620/AT5G52920/AT2G45770/AT5G23120/AT5G39830/AT1G32550/AT1G10960/AT3G12780/AT1G56190/AT2G47940/AT4G23890/AT1G02910/AT5G44650/AT2G21970/AT1G70760/AT5G28450/AT1G30120/AT1G01090/AT5G11450/AT2G39470/AT4G31390/AT1G29910/AT5G49740/AT1G77090/AT3G56010/AT5G52100/AT1G13440/AT1G34000/AT2G18660/AT2G20890/AT3G27690/AT5G35790/AT3G60750/AT1G14150/AT2G42600/AT5G57030/AT4G15510/AT1G19150/AT3G11670/AT5G61410/AT4G30950/AT2G05620/AT5G66190/AT1G29920/AT3G15850/AT2G30950/AT1G32440/AT1G76450/AT5G08720/AT3G27925/AT4G38680/AT3G56650/AT1G71500/AT3G55330/AT4G33470/AT4G26530/AT3G01480/AT1G68830/AT1G60950/AT5G01530/AT4G02530/AT2G01590/AT1G54780/AT1G55670/AT1G75690/AT1G45474/AT4G09650/AT5G24120/AT1G79040/AT4G04640/AT5G42270/AT1G67740/AT4G03280/AT1G50250/AT4G01050/AT1G15980/AT4G21280/AT1G64770/AT1G03600/AT3G61470/AT1G29930/AT4G38970/AT3G04790/AT3G50820/AT4G35250/AT1G55480/AT1G08380/AT3G54050/AT4G05180/AT4G22890/AT5G66570/AT2G34420/AT5G02120/AT5G64040/AT1G16720/AT2G30570/AT5G19220/AT4G10340/AT1G15820/AT5G54270/AT3G54890/AT1G61520/AT1G06680/AT2G05070/AT2G46820/AT3G08940/AT3G47470/AT2G21330/AT2G05100
GO:0009657	plastid organization	301	-0.7052995682586926	-1.920553715526763	1.857342578860615e-12	9.57460099402647e-10	8.558439093644569e-10	2289	tags=33%, list=11%, signal=30%	AT1G49970/AT5G54600/AT4G26150/AT1G11870/AT4G31780/AT1G71720/AT2G32480/AT4G23940/AT5G64050/AT5G65460/AT5G13770/AT1G50840/AT1G32070/AT1G79600/AT1G03160/AT2G46340/AT2G43090/AT4G01150/AT4G34090/AT5G51020/AT3G08010/AT5G26742/AT1G49510/AT5G62430/AT1G45230/AT3G10670/AT2G24060/AT3G53890/AT1G08540/AT2G33800/AT5G53280/AT2G45770/AT5G23120/AT4G35780/AT5G23730/AT3G12780/AT1G42550/AT1G56190/AT2G47940/AT5G44650/AT5G23040/AT4G09620/AT3G63190/AT5G42310/AT1G32500/AT5G21920/AT3G25690/AT1G68590/AT4G31390/AT2G21280/AT1G79850/AT1G12410/AT1G11750/AT5G15450/AT2G07050/AT5G12130/AT3G19720/AT1G62750/AT5G58140/AT2G01110/AT2G20890/AT5G58770/AT5G45390/AT5G44190/AT1G66840/AT4G28740/AT5G10470/AT3G63140/AT5G67385/AT1G50900/AT1G35680/AT2G30950/AT2G38140/AT3G23400/AT3G56910/AT1G65260/AT3G10420/AT3G17040/AT1G64500/AT5G24120/AT1G74730/AT2G28800/AT1G09340/AT1G01790/AT2G20570/AT5G61670/AT4G20360/AT2G30520/AT2G34620/AT1G75100/AT4G04850/AT1G44575/AT1G32080/AT5G08050/AT3G56940/AT3G56290/AT2G46820/AT1G44000/AT3G02380
GO:0009765	photosynthesis, light harvesting	43	-0.9241067527891779	-2.060368534647199	9.821359059681369e-11	4.050328476212596e-8	3.620463097579385e-8	1256	tags=74%, list=6%, signal=70%	AT5G39830/AT2G47940/AT2G21970/AT5G28450/AT1G29910/AT3G27690/AT5G57030/AT1G19150/AT1G29920/AT2G30950/AT3G27925/AT5G01530/AT4G02530/AT1G54780/AT1G75690/AT1G45474/AT1G50250/AT1G03600/AT3G61470/AT1G29930/AT1G55480/AT1G08380/AT2G34420/AT4G10340/AT1G15820/AT5G54270/AT3G54890/AT1G61520/AT2G05070/AT3G08940/AT3G47470/AT2G05100
GO:0009658	chloroplast organization	233	-0.7124909129180377	-1.89460796172163	2.4951038525382565e-10	8.574840239889809e-8	7.66478393999033e-8	2289	tags=30%, list=11%, signal=27%	AT4G26150/AT1G11870/AT2G32480/AT4G23940/AT5G64050/AT5G65460/AT5G13770/AT1G79600/AT2G46340/AT2G43090/AT4G01150/AT4G34090/AT5G51020/AT3G08010/AT5G26742/AT1G49510/AT5G62430/AT1G45230/AT2G24060/AT3G53890/AT1G08540/AT5G53280/AT4G35780/AT5G23730/AT1G42550/AT2G47940/AT5G44650/AT5G23040/AT4G09620/AT3G63190/AT5G42310/AT5G21920/AT3G25690/AT4G31390/AT2G21280/AT1G12410/AT1G11750/AT5G15450/AT3G19720/AT1G62750/AT5G58140/AT5G45390/AT5G44190/AT1G66840/AT4G28740/AT5G10470/AT3G63140/AT5G67385/AT1G50900/AT1G35680/AT2G30950/AT3G23400/AT1G64500/AT5G24120/AT1G74730/AT1G09340/AT1G01790/AT2G20570/AT5G61670/AT4G20360/AT2G30520/AT2G34620/AT1G75100/AT4G04850/AT1G32080/AT5G08050/AT3G56940/AT3G56290/AT2G46820/AT1G44000/AT3G02380
GO:0009767	photosynthetic electron transport chain	55	-0.8761756660051002	-2.015629463319502	2.956270602543574e-9	8.708328546349785e-7	7.784105000080899e-7	1316	tags=56%, list=6%, signal=53%	AT2G45770/AT4G23890/AT1G70760/AT4G31390/AT5G49740/AT1G14150/AT4G30950/AT2G05620/AT5G66190/AT3G15850/AT2G30950/AT1G60950/AT2G01590/AT1G55670/AT4G09650/AT4G04640/AT5G42270/AT1G67740/AT4G03280/AT4G01050/AT1G15980/AT4G21280/AT1G64770/AT3G50820/AT1G08380/AT3G54050/AT4G05180/AT4G22890/AT5G66570/AT5G64040/AT2G46820
GO:0009644	response to high light intensity	67	-0.8431241335354475	-1.977612749138002	8.977044333399843e-9	2.3138331769338096e-6	2.068263766813569e-6	673	tags=45%, list=3%, signal=43%	AT2G39460/AT3G55280/AT4G28610/AT2G21970/AT4G14690/AT3G27690/AT4G30950/AT2G05620/AT3G15850/AT2G30950/AT4G32770/AT3G18780/AT4G34190/AT1G45474/AT5G42270/AT1G67740/AT2G47450/AT5G64940/AT3G61470/AT3G50820/AT4G04850/AT1G55480/AT5G66570/AT5G02120/AT5G54270/AT3G54890/AT1G61520/AT2G05070/AT3G47470/AT2G05100
GO:0043467	regulation of generation of precursor metabolites and energy	32	-0.9305562657704168	-1.9674421735947634	1.6632032845168614e-8	3.810583525193076e-6	3.406162516010555e-6	434	tags=50%, list=2%, signal=49%	AT3G11670/AT4G30950/AT3G15850/AT2G30950/AT5G08720/AT4G38680/AT1G71500/AT4G33470/AT3G01480/AT1G68830/AT1G55670/AT5G42270/AT1G67740/AT3G50820/AT5G66570/AT2G30570
GO:0042548	regulation of photosynthesis, light reaction	29	-0.9303480695378008	-1.9355693696308516	2.8282491785199138e-8	5.831849806108062e-6	5.212909801671967e-6	434	tags=52%, list=2%, signal=51%	AT3G11670/AT4G30950/AT3G15850/AT2G30950/AT5G08720/AT1G71500/AT4G33470/AT3G01480/AT1G68830/AT1G55670/AT5G42270/AT1G67740/AT3G50820/AT5G66570/AT2G30570
