category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Energy metabolism	ath00196	Photosynthesis - antenna proteins	22/2187	22/6348	1	2.9026063100137174	6.480454446596045	6.144118424803634e-11	4.877324198558067e-9	2.510800778358744e-9	838151/842446/835515/824654/823901/820043/815058/815055/826626/825320/818005/839871/838498/841099/830325/818599/839870/839869/832932/822391/818006/843990	22
Metabolism	Global and overview maps	ath01200	Carbon metabolism	146/2187	275/6348	0.5309090909090909	1.5410200773163736	6.649482865456289	7.120181311763602e-11	4.877324198558067e-9	2.510800778358744e-9	840098/837848/843129/838940/843029/830825/822277/824572/819639/816672/836635/829949/830052/833828/817149/828759/829438/824746/833829/815822/837733/816962/840895/818421/840141/833830/818879/822359/831024/818104/838652/820664/827563/825044/820665/816509/832872/820006/831330/827381/838651/827027/830635/820461/843395/841875/825317/825246/834832/828733/833559/838849/815120/819137/820760/836809/840138/834351/835369/838342/829661/825167/843565/833497/836704/821817/818220/818978/838352/835735/824347/827841/819042/836262/822349/822181/842072/822139/834876/834479/818382/829715/818860/834065/836279/835168/840346/844378/829910/837166/821163/834230/815903/821482/819022/829911/818226/831183/831500/821870/827024/831039/831935/841757/827307/820034/819654/844293/820731/837904/832513/817648/834076/820630/820632/844140/838301/820951/825145/837465/829679/820723/828758/840953/820499/842043/836559/829716/838445/818138/832873/838199/824077/816270/816180/819560/818078/842579/821072/832657/838822/816359/831406/817616/830819/831690	146
Metabolism	Metabolism of cofactors and vitamins	ath00860	Porphyrin metabolism	42/2187	57/6348	0.7368421052631579	2.1387625442206337	6.260666098388933	1.4655532133928835e-9	6.692693007827501e-8	3.44533562446748e-8	841000/824345/824861/828611/843788/831207/826942/827580/817589/826798/841029/818644/842198/837374/839009/824034/823622/820722/827991/834633/838554/827371/830724/837528/839489/819059/831984/820276/832672/831272/828391/843310/841439/831720/817195/828029/835708/835507/842199/834408/6240548/817682	42
Metabolism	Carbohydrate metabolism	ath00630	Glyoxylate and dicarboxylate metabolism	54/2187	81/6348	0.6666666666666666	1.9350708733424782	6.139980249893559	2.773984821856124e-9	9.500898014857225e-8	4.8909732385357977e-8	843129/838940/843029/830825/829949/833828/817149/829438/833829/815822/837733/818421/821050/840141/833830/818879/818104/838652/820664/827563/825044/820665/833535/831330/838651/827027/843395/815120/824060/834351/838342/829661/818721/830292/819042/822139/834876/834791/844378/829910/829911/827024/831519/841757/827307/820034/820731/820630/820632/820951/827448/833738/818078/831690	54
Environmental Information Processing	Signal transduction	ath04075	Plant hormone signal transduction	201/2187	433/6348	0.46420323325635104	1.347399233978654	5.428817133630621	6.592740030439229e-8	1.8064107683403485e-6	9.299233306093228e-7	818708/825075/821050/837255/829893/833535/836040/824214/837587/836248/818903/839570/839568/828714/816798/836388/824140/829142/838501/839495/842268/824871/827989/833756/841395/831178/835539/836646/819129/814686/829847/831866/841382/836321/823950/838573/835809/833672/836822/838487/818730/839819/838518/820314/834390/816849/821586/832607/827102/818390/839821/825476/829685/837838/814714/829628/828721/839827/830162/821891/816538/824239/842959/844164/839820/837150/817247/816640/835788/831519/814707/844105/830041/836412/834700/828569/825382/843828/835441/839828/836166/829029/839822/829480/838057/28718697/28721172/824847/814753/835841/826850/839356/838635/830040/827923/825240/831670/831669/828834/831162/843813/829980/818713/830039/844127/824650/819387/843609/834722/833930/835008/815949/817487/822593/833552/835148/816817/821111/820898/829322/821957/827510/816658/830095/824920/833738/816833/836861/823706/830575/838310/825805/829564/819281/818706/819264/818662/834284/825356/835860/821121/834768/823603/831310/826956/838297/844405/825363/828045/835250/843194/825804/821251/818199/823965/838570/832638/836485/824099/829629/817353/839706/817145/825383/821123/825204/839818/820883/818411/829768/820793/820235/829631/827103/838804/831668/837024/830966/816659/829744/832204/843096/821705/820145/841717/28717252/837353/843393/6241125/830427/843631/838070/831003/829361/828993/829000/816518/843894/818193/816286/816158	201
Metabolism	Energy metabolism	ath00710	Carbon fixation by Calvin cycle	44/2187	71/6348	0.6197183098591549	1.7987982766282191	4.906818703736013	1.7962818780323335e-6	4.101510288173828e-5	2.1114190496169533e-5	840098/837848/838940/843029/830825/822277/824572/819639/816672/830052/833828/828759/824746/833829/840895/833830/831024/816509/820461/843395/825246/819137/834351/843565/818220/836262/842072/834479/818860/831183/831039/841757/844293/820731/837904/817648/838301/820723/828758/840953/836559/838199/842579/832657	44
Metabolism	Amino acid metabolism	ath00250	Alanine, aspartate and glutamate metabolism	34/2187	51/6348	0.6666666666666666	1.9350708733424782	4.860406057839889	2.510805952268122e-6	4.914005935153325e-5	2.5296841925107396e-5	838940/815822/818421/821050/831024/821784/836373/833535/830635/843395/844282/842908/843565/831328/814732/828586/827575/829626/831519/836625/823888/831935/820034/817648/838301/830959/830888/833738/830704/820860/842579/821072/831599/821044	34
Metabolism	Amino acid metabolism	ath00260	Glycine, serine and threonine metabolism	43/2187	70/6348	0.6142857142857143	1.783029590436998	4.775582161909706	3.291484121220667e-6	5.636666557590392e-5	2.901703106865588e-5	843129/838940/829949/817149/841849/829438/831255/815822/837733/818421/840141/818104/826838/823972/820006/827027/843395/827715/843831/838352/840011/835571/829715/819608/833841/844378/2746023/821482/837385/827024/827307/820034/842580/844140/820951/840058/840056/838445/816270/826769/821287/818078/838822	43
Metabolism	Global and overview maps	ath01230	Biosynthesis of amino acids	117/2187	242/6348	0.4834710743801653	1.403326191204979	4.637623530848827	3.872159884440988e-6	5.894287824093503e-5	3.0343241199713e-5	838940/819639/816672/829949/830052/828759/831255/821050/818879/831024/842175/825044/829489/818260/833535/831332/821147/832872/820006/827027/831660/820461/834875/843395/841875/825317/825246/834832/828733/833436/815120/819137/825030/840138/827715/835369/843565/821817/818220/824130/818978/838352/835735/819042/824872/836262/840011/842072/834479/835571/829715/819608/828586/836279/831490/844395/833841/819009/2746023/821482/818226/831183/816758/837543/837385/837725/821870/827024/831519/836625/823888/819654/844293/829978/828797/837904/821003/817648/830897/844140/826458/838301/821812/830959/825145/830888/829510/829679/828758/824526/824727/820499/840076/820660/842043/819138/829716/838445/830457/833738/832873/841433/832326/817329/838199/824077/818195/816270/835900/819560/821287/830067/829921/843269/842579/838822/815864	117
Metabolism	Global and overview maps	ath01240	Biosynthesis of cofactors	115/2187	239/6348	0.4811715481171548	1.3966515717639225	4.531404694416738	6.23944644594669e-6	8.548041630946966e-5	4.400451703983455e-5	829949/823955/839932/819555/818260/817589/826515/842350/818644/5007993/842198/828792/827027/816777/824034/825516/839053/820722/831738/827991/818937/838991/824729/836451/829509/816412/821965/833471/826932/824130/835567/818402/815152/831328/824612/816756/818512/830724/829573/833763/844318/829715/816874/818302/843222/820179/842354/832387/827575/844203/837528/839489/819059/833002/829782/820447/837543/826833/827024/834243/821659/835538/843830/830775/843632/827307/819010/821003/835104/832672/831272/819187/820951/834835/821206/833928/843027/841020/844204/838945/839462/843310/839289/834671/841439/838901/837168/827843/817195/820850/828029/830339/841433/829609/819219/818356/819139/835708/820656/816789/829123/829167/816270/828145/821399/834953/819288/843810/835750/816694/844195/839197/838347/817682/10723096	115
