category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	ath04075	Plant hormone signal transduction	118/994	433/6348	0.27251732101616627	1.74038224729439	6.876395198891245	1.1081544788324324e-10	1.4849270016354594e-8	1.0381657749061736e-8	818708/820314/824140/833535/838330/839819/836646/828714/831866/829628/838501/843609/831669/832607/836388/834545/839821/831670/824920/827989/839828/836248/830041/831178/835539/818411/835860/839820/839568/838057/835788/833552/814707/821586/835809/834390/836166/838573/829029/818390/838487/821463/827923/836040/816640/834722/820898/824239/28721172/839827/830039/831173/816798/828718/829564/830095/839822/829629/827510/817487/839570/837255/830040/844105/831310/814753/837587/828569/816658/821055/821891/828045/830162/839549/821111/828834/839913/833738/834700/821705/823950/829893/28718697/828721/826956/819387/821251/831668/839818/838570/838635/816833/827102/836485/815949/6241125/832204/816659/839706/835250/836412/829631/816849/823965/832638/821121/843631/821902/826850/825383/829744/825805/835148/818199/836846/816817/820883/821123	118
Environmental Information Processing	Signal transduction	ath04016	MAPK signaling pathway - plant	49/994	146/6348	0.3356164383561644	2.1433532703067724	6.02184043025249	4.8035072074707164e-8	3.21834982900538e-6	2.2500639024468094e-6	818708/820314/832253/836451/838330/834509/828714/843609/826730/838652/832607/839523/839324/817173/818411/817575/816330/835809/834676/818429/827923/836040/834722/842650/827510/817487/837255/837082/820429/840324/821891/830162/839549/816436/829797/832546/817812/835402/822119/816833/836485/815949/835250/822298/843631/821902/819774/828455/827896	49
Metabolism	Carbohydrate metabolism	ath00500	Starch and sucrose metabolism	56/994	181/6348	0.30939226519337015	1.9758773636292895	5.738994590818418	1.2989980767727305e-7	5.8021914095848625e-6	4.056520309921861e-6	832206/821975/819828/816385/835220/832042/838927/841088/817697/837777/3767578/835257/843365/842961/828355/820558/842747/837730/838998/830979/825183/842309/821333/828080/844194/3767579/842563/825450/820591/819751/843408/828603/828081/828264/830135/818580/833692/828896/816753/826535/817789/816697/836609/814692/842479/823393/828504/819055/819053/840493/839385/825184/842872/842478/820590/843479	56
Metabolism	Energy metabolism	ath00195	Photosynthesis	29/994	77/6348	0.37662337662337664	2.4052366144921478	5.345208831184604	1.9724670396649833e-6	6.607764582877694e-5	4.61972543500483e-5	824699/825866/836525/838622/841653/820859/837178/826892/827877/838591/821143/841033/817606/836789/827146/828984/827996/843942/837358/816545/839918/840021/826551/842016/837639/828183/828996/834535/837974	29
Metabolism	Metabolism of cofactors and vitamins	ath00860	Porphyrin metabolism	23/994	57/6348	0.40350877192982454	2.576935295986445	5.15263900920588	5.8721712281630205e-6	1.5737418891476895e-4	1.1002594511715976e-4	824345/824034/828611/827580/834633/831984/839009/826942/837528/838554/843788/823622/841000/827371/818644/831272/832672/828391/828029/831720/843308/826798/817682	23
Environmental Information Processing	Signaling molecules and interaction	ath04517	IgSF CAM signaling	21/994	50/6348	0.42	2.6822535211267606	5.145331707445911	7.052035667300198e-6	1.574954632363711e-4	1.1011073234907327e-4	838590/817504/832098/827275/831100/832097/836390/829750/836391/843917/832451/841425/829654/832133/835759/843911/823959/817902/829016/819077/834637	21
Cellular Processes	Cell motility	ath04814	Motor proteins	29/994	82/6348	0.35365853658536583	2.2585758453157974	4.942303158838486	8.478461999851742e-6	1.6230198685430477e-4	1.1347114556192558e-4	838590/817504/820385/832098/827275/824542/830050/830445/831100/832097/823728/836390/836391/838418/832451/818817/841425/817411/818192/832133/843911/832456/821439/842245/823523/836763/821558/821947/817748	29
Metabolism	Amino acid metabolism	ath00280	Valine, leucine and isoleucine degradation	20/994	52/6348	0.38461538461538464	2.4562761182479496	4.543089551838976	5.410636273919127e-5	8.586937474023814e-4	6.003436254423563e-4	817876/819865/818421/823955/841998/841849/838739/838362/823668/819869/820034/837166/820547/838991/827307/837543/841433/843458/817616/833376	20
Metabolism	Carbohydrate metabolism	ath00630	Glyoxylate and dicarboxylate metabolism	27/994	81/6348	0.3333333333333333	2.1287726358148893	4.405116439798938	5.76734606464286e-5	8.586937474023814e-4	6.003436254423563e-4	833829/818104/833828/833830/840141/830825/837733/824060/829949/831330/843029/818879/820664/818421/833535/838342/840543/843129/825044/838652/820946/822139/820632/827027/820034/827307/833738	27
Metabolism	Amino acid metabolism	ath00260	Glycine, serine and threonine metabolism	24/994	70/6348	0.34285714285714286	2.1895947111238865	4.311969168810866	8.893310819363664e-5	0.001191703649794731	8.331628030772275e-4	818104/840141/837733/829949/818421/841849/840543/843129/831255/840011/833841/827027/838445/844140/820034/827307/816270/837385/840058/838822/826769/821287/840056/843612	24
