category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Energy metabolism	ath00196	Photosynthesis - antenna proteins	21/1472	22/6348	0.9545454545454546	4.116477272727273	8.044832689683412	7.210201823299566e-13	9.733772461454414e-11	6.527130071618555e-11	815058/823901/820043/815055/842446/824654/835515/838151/826626/818005/839871/825320/841099/830325/839870/838498/822391/839869/832932/818006/843990	21
Metabolism	Global and overview maps	ath01200	Carbon metabolism	104/1472	275/6348	0.3781818181818182	1.6309090909090909	5.876757866542979	1.7953215186094076e-8	1.21184202506135e-6	8.126192136863635e-7	816672/837848/822277/817149/829661/830825/824572/838940/840098/815822/819639/830052/829438/843129/816962/843029/827563/843395/829949/818220/816509/838651/824746/828759/820006/818421/825317/840138/819137/843565/836635/834351/837733/836262/840895/832872/827027/833828/844378/818978/829715/818860/820665/838652/841875/825246/833559/822359/818382/818879/834832/831024/837904/840141/825044/829911/830635/825167/833830/838352/834230/833829/836704/820760/820664/827024/827841/820166/839429/839891/829910/833497/838849/821817/815903/822349/835735/842072/820461/834876/821482/828733/820499/820723/840953/837465/835168/831935/831330/834169/838342/837166/829310/820951/834479/831500/829716/819560/821072/832513/831406/832657/831690/816359	104
Metabolism	Energy metabolism	ath00195	Photosynthesis	39/1472	77/6348	0.5064935064935064	2.1842532467532463	5.744177505759456	1.2121744862644379e-7	5.454785188189971e-6	3.657789677850585e-6	837178/826892/841653/820859/817606/836525/836789/825866/837358/841033/839918/824246/840021/829359/838622/839449/828996/838400/827877/827996/843099/825797/828984/844245/826551/828183/842016/842386/824699/825887/836751/816545/837974/817297/837639/840149/843942/821143/817630	39
Metabolism	Carbohydrate metabolism	ath00630	Glyoxylate and dicarboxylate metabolism	40/1472	81/6348	0.49382716049382713	2.1296296296296298	5.621536605203972	2.0260962246095138e-7	6.838074758057109e-6	4.585375666221531e-6	817149/829661/830825/838940/815822/829438/843129/843029/827563/843395/829949/821050/838651/818421/834351/837733/827027/833828/844378/820665/838652/818879/834791/840141/825044/829911/833830/833535/830292/833829/820664/827024/831519/829910/834876/831330/838342/820951/827448/831690	40
Metabolism	Carbohydrate metabolism	ath00500	Starch and sucrose metabolism	71/1472	181/6348	0.39226519337016574	1.6916436464088398	5.186698586612717	7.17636854105439e-7	1.831669611942955e-5	1.228254086760968e-5	826603/832042/840184/826481/823850/836609/827959/837716/842747/836638/844194/830135/820294/819828/820558/839196/821333/3767579/831065/824399/841088/839435/828603/828081/818212/818682/830979/825184/827185/832206/823854/829638/843319/828264/821589/828504/843945/822590/817847/841955/842961/827419/828895/842479/838871/842478/825182/825183/829242/842942/842309/843408/826535/833692/828527/828080/820590/823393/834978/843672/830056/839385/843479/832525/821332/842872/832219/835545/819053/837112/844144	71
Metabolism	Lipid metabolism	ath00061	Fatty acid biosynthesis	25/1472	43/6348	0.5813953488372093	2.5072674418604652	5.448642406612391	8.140753830857578e-7	1.831669611942955e-5	1.228254086760968e-5	819555/821961/839053/820737/818382/818973/832820/817570/819337/833497/826919/841367/815152/826932/816756/842748/831500/842561/840522/831484/822102/840977/831406/831483/820709	25
Metabolism	Metabolism of cofactors and vitamins	ath00860	Porphyrin metabolism	30/1472	57/6348	0.5263157894736842	2.269736842105263	5.290510881648375	1.223394629223832e-6	2.3594039277888188e-5	1.5821344077180386e-5	841000/824861/841029/824345/828611/831207/843788/842198/827991/817589/827580/837374/826942/818644/826798/817208/820722/828853/830724/839009/820276/843308/843310/838554/834633/835507/841439/842199/831720/817682	30
Metabolism	Biosynthesis of other secondary metabolites	ath00940	Phenylpropanoid biosynthesis	54/1472	130/6348	0.4153846153846154	1.791346153846154	5.008631942594074	2.022335398316133e-6	3.412690984658474e-5	2.2884321612524664e-5	821479/842814/838165/829955/829479/836457/829779/824493/841593/818280/843600/829572/829551/834951/820196/824073/830416/827221/830088/830561/822042/836533/844079/830302/819376/829908/828728/829907/817967/827220/821710/828704/833954/818746/826731/835894/830562/827222/823067/838016/839082/839958/842596/830823/829795/816710/824072/829953/836531/818420/836802/827322/837028/831370	54
Metabolism	Energy metabolism	ath00710	Carbon fixation by Calvin cycle	33/1472	71/6348	0.4647887323943662	2.0044014084507045	4.675916301892698	1.2406622302871385e-5	1.8609933454307077e-4	1.2479175649671804e-4	816672/837848/822277/830825/824572/838940/840098/819639/830052/843029/843395/818220/816509/824746/828759/819137/843565/834351/836262/840895/833828/818860/825246/831024/837904/833830/833829/842072/820461/820723/840953/834479/832657	33
Metabolism	Global and overview maps	ath01212	Fatty acid metabolism	32/1472	70/6348	0.45714285714285713	1.9714285714285713	4.490095133751103	2.5501492998054627e-5	3.4427015547373744e-4	2.3085562082449457e-4	819555/817876/834946/821961/836635/839053/820737/818382/819865/834780/818973/832820/817570/819870/819337/833497/834876/841367/815152/826932/816756/842748/831500/842561/839063/840522/831484/827458/840977/831406/831483/820709	32
